Gene Name	Function	Subcellular Location	Predicted Molecular weight (Da)	Number of TMH (HMMTOP / TMHMM)	Signal Peptide Cleavage Prob
tolB	 The cellular location of this protein was experimentally confirmed - periplasmic protein that interacts with the TolA-T ... ...	Periplasmic	45955.65	1 / 0	99.5%
treA	 The cellular location of this protein was experimentally confirmed - Trehalase; periplasmic	Periplasmic	63636.91	1 / 0	99.8%
ugpB	 The cellular location of this protein was experimentally confirmed - glycerol-3-phosphate transporter subunit; periplas ... ...	Periplasmic	48448.88	1 / 0	99.7%
ushA	 The cellular location of this protein was experimentally confirmed - UDP-glucose hydrolase and 5-nucleotidase; bifuncti ... ...	Periplasmic	60824.15	1 / 0	99.5%
dsbC	 The cellular location of this protein was experimentally confirmed - Periplasmic disulfide oxidoreductase; protein disu ... ...	Periplasmic	25621.79	0 / 0	99.9%
secM	 The cellular location of this protein was experimentally confirmed - Translation and secretion of SecM regulates downst ... ...	Periplasmic	21738.74	1 / 1	99%
chiA	 The cellular location of this protein was experimentally confirmed - Periplasmic endochitinase/lysozyme; Hns-repressibl ... ...	Periplasmic	97057.93	1 / 0	97.6%
dsbA	 The cellular location of this protein was experimentally confirmed - Disulfide oxidoreductase; periplasmic protein disu ... ...	Periplasmic	23104.62	1 / 0	94.8%
malS	 The cellular location of this protein was experimentally confirmed - Alpha-Amylase; periplasmic; MalT dependent	Periplasmic	75712.89	1 / 0	72.3%
endA	 The cellular location of this protein was experimentally confirmed - Periplasmic DNA-specific endonuclease I; extensive ... ...	Periplasmic	26709.2	1 / 0	100%
amiB	 The cellular location of this protein was experimentally confirmed - Cell wall amidase; overexpression causes lysis; os ... ...	Periplasmic	47985.35	1 / 0	98.4%
sufI	 The cellular location of this protein was experimentally confirmed - Suppressor of ftsI; periplasmic protein translocat ... ...	Periplasmic	51858.34	1 / 0	99%
osmY	 The cellular location of this protein was experimentally confirmed - Periplasmic; RpoS dependent protein (stationary ph ... ...	Periplasmic	21073.76	0 / 0	99.9%
hdeA	 The cellular location of this protein was experimentally confirmed - Periplasmic chaperone of acid-denatured proteins; ... ...	Periplasmic	11857.67	0 / 1	98.6%
hdeB	 The cellular location of this protein was experimentally confirmed - Periplasmic protein; repressed by H-NS	Periplasmic	12522.48	1 / 0	95.4%
gltF	 The cellular location of this protein was experimentally confirmed - Function unknown; periplasmic protein; mutant has ... ...	Periplasmic	26351.76	1 / 0	99.4%
tesA	 The cellular location of this protein was experimentally confirmed - Acyl-CoA thioesterase I; also protease I; also lys ... ...	Periplasmic	23622.25	1 / 1	78.8%
artI	 The cellular location of this protein was experimentally confirmed - arginine transporter subunit; periplasmic-binding ... ...	Periplasmic	26929.63	1 / 0	99.9%
artJ	 The cellular location of this protein was experimentally confirmed - arginine transporter subunit; periplasmic-binding ... ...	Periplasmic	26829.55	1 / 0	99.4%
potF	 The cellular location of this protein was experimentally confirmed - putrescine transporter subunit; periplasmic-bindin ... ...	Periplasmic	40839.78	1 / 0	94.6%
nrfA	 The cellular location of this protein was experimentally confirmed - Formate-dependent nitrite reduction; tetraheme cyt ... ...	Periplasmic	53703.13	1 / 0	100%
hybA	 The cellular location of this protein was experimentally confirmed - Hydrogenase 2 complex component; possibly electron ... ...	Periplasmic	36003.18	1 / 0	99.6%
hybC	 The cellular location of this protein was experimentally confirmed - Hydrogenase 2 [Ni Fe] large subunit; probably	Periplasmic	62491.35	0 / 0	None
torA	 The cellular location of this protein was experimentally confirmed - Molybdoprotein trimethylamine N-oxide reductase	Periplasmic	94456.23	0 / 0	88.5%
yceI	 The cellular location of this protein was experimentally confirmed - Function unknown; periplasmic protein; alkali-indu ... ...	Periplasmic	20912.51	1 / 0	99.8%
amiA	 The cellular location of this protein was experimentally confirmed - N-Acetylmuramyl-L-alanine amidase activity	Periplasmic	31412.19	0 / 0	97.5%
fdoG	 The cellular location of this protein was experimentally confirmed - Formate dehydrogenase-O subunit; major	Periplasmic	112382.3	1 / 0	97%
mdoG	 The cellular location of this protein was experimentally confirmed - Periplasmic oligosaccharide synthesis	Periplasmic	57912.64	1 / 0	99.7%
zraP	 The cellular location of this protein was experimentally confirmed - Zn-binding periplasmic protein; responsive to Zn(2 ... ...	Periplasmic	20367.39	1 / 1	99.7%
aphA	 The cellular location of this protein was experimentally confirmed - Acid phosphatase/phosphotransferase; class B	Periplasmic	26103.61	1 / 0	87.4%
nrfB	 The cellular location of this protein was experimentally confirmed - Formate-dependent nitrite reduction; pentaheme cyt ... ...	Periplasmic	20959.9	1 / 0	88.2%
nrfC	 The cellular location of this protein was experimentally confirmed - Formate-dependent nitrite reduction; nonheme FE-S ... ...	Periplasmic	24567.6	1 / 0	99.5%
yehZ	 The cellular location of this protein was experimentally confirmed - predicted transporter subunit; periplasmic-binding ... ...	Periplasmic	32609.37	1 / 0	100%
bglX	 The cellular location of this protein was experimentally confirmed - Periplasmic beta-glucosidase	Periplasmic	83460.32	0 / 0	100%
pbpG	 The cellular location of this protein was experimentally confirmed - Penicillin-binding protein PBP 7	Periplasmic	34245.07	1 / 0	95.9%
napB	 The cellular location of this protein was experimentally confirmed - Diheme c type cytochrome component of periplasmic ... ...	Periplasmic	17090.5	1 / 0	99.8%
napG	 The cellular location of this protein was experimentally confirmed - Ferredoxin homolog	Periplasmic	24924.84	1 / 0	35.8%
napA	 The cellular location of this protein was experimentally confirmed - Periplasmic nitrate reductase	Periplasmic	93042.34	1 / 0	97.7%
nikA	 The cellular location of this protein was experimentally confirmed - nickel transporter subunit; periplasmic-binding pr ... ...	Periplasmic	58719.17	1 / 0	100%
hisJ	 The cellular location of this protein was experimentally confirmed - histidine/lysine/arginine/ornithine transporter su ... ...	Periplasmic	28483.45	1 / 1	99.4%
asr	 The cellular location of this protein was experimentally confirmed - Acid shock RNA; expression controlled by phoBR	Periplasmic	11638.58	1 / 0	100%
yhjJ	 The cellular location of this protein was experimentally confirmed - Function unknown	Periplasmic	55527.55	1 / 0	99.7%
bcsZ	 The cellular location of this protein was experimentally confirmed - Endo-1;4-D-glucanase; breaks down carboxymethylcel ... ...	Periplasmic	41700.41	1 / 0	95.9%
cueO	 The cellular location of this protein was experimentally confirmed - Multicopper oxidase (laccase)	Periplasmic	56556.43	1 / 0	100%
btuF	 The cellular location of this protein was experimentally confirmed - vitamin B12 transporter subunit; periplasmic-bindi ... ...	Periplasmic	29366.91	1 / 0	96.3%
modA	 The cellular location of this protein was experimentally confirmed - molybdate transporter subunit; periplasmic-binding ... ...	Periplasmic	27364.28	1 / 0	99.9%
alsB	 The cellular location of this protein was experimentally confirmed - D-allose transporter subunit; periplasmic-binding ... ...	Periplasmic	32910.01	1 / 1	98.8%
ecfJ	 The cellular location of this protein was experimentally confirmed - Function unknown; rpoE regulon; periplasmic protei ... ...	Periplasmic	20420.6	0 / 0	77%
ytfQ	 The cellular location of this protein was experimentally confirmed - predicted sugar transporter subunit; periplasmic-b ... ...	Periplasmic	34344.77	1 / 1	99.9%
degQ	 The cellular location of this protein was experimentally confirmed - Periplasmic serine endoprotease; multicopy suppres ... ...	Periplasmic	47205.18	2 / 1	99.2%
torT	 The cellular location of this protein was experimentally confirmed - TorRT system	Periplasmic	37864.81	1 / 0	100%
lptA	 The cellular location of this protein was experimentally confirmed - Participate in LPS biogenesis. sigma_E-dependent. ... ...	Periplasmic	20126.94	1 / 0	98.1%
tpx	 The cellular location of this protein was experimentally confirmed - Thioredoxin-linked thiol peroxidase; induced by ac ... ...	Periplasmic	17835.37	0 / 0	None
znuA	 The cellular location of this protein was experimentally confirmed - zinc transporter subunit; periplasmic-binding prot ... ...	Periplasmic	35885.17	1 / 0	94%
fliY	 The cellular location of this protein was experimentally confirmed - cystine transporter subunit; periplasmic-binding p ... ...	Periplasmic	29039.26	1 / 0	100%
erfK	 The cellular location of this protein was experimentally confirmed - Function unknown; downstream of cobT	Periplasmic	34411.18	1 / 0	99.6%
lolA	 The cellular location of this protein was experimentally confirmed - Periplasmic protein responsible for sorting and tr ... ...	Periplasmic	22628.31	1 / 0	99.5%
gltI	 The cellular location of this protein was experimentally confirmed - glutamate and aspartate transporter subunit; perip ... ...	Periplasmic	33420.27	0 / 0	99.9%
ecfF	 The cellular location of this protein was experimentally confirmed - Function unknown; rpoE regulon; putative periplasm ... ...	Periplasmic	26429.32	0 / 0	98.6%
yrbC	 The cellular location of this protein was experimentally confirmed - Function unknown	Periplasmic	23962.69	1 / 0	91%
aaeA	 The cellular location of this protein was experimentally confirmed - AaeAB p-hydroxybenzoic acid efflux pump;membrane f ... ...	Periplasmic	34774.66	1 / 1	81.6%
ybgF	 The cellular location of this protein was experimentally confirmed - Binds TolA; last gene in tolB-pal operon; localize ... ...	Periplasmic	28231.48	1 / 0	99.1%
mdoD	 The cellular location of this protein was experimentally confirmed - Periplasmic protein involved in osmoregulated peri ... ...	Periplasmic	62758.2	1 / 0	100%
gspD	 The cellular location of this protein was experimentally confirmed - general secretory pathway component; cryptic	Periplasmic	71146.88	0 / 0	99.6%
gspI	 The cellular location of this protein was experimentally confirmed - general secretory pathway component; cryptic	Periplasmic	15328.12	1 / 1	32.6%
gspJ	 The cellular location of this protein was experimentally confirmed - general secretory pathway component; cryptic	Periplasmic	22231.26	1 / 1	97.9%
gspK	 The cellular location of this protein was experimentally confirmed - general secretory pathway component; cryptic	Periplasmic	37646.71	1 / 1	98.7%
fkpA	 The cellular location of this protein was experimentally confirmed - Periplasmic peptidylprolyl cis;trans isomerase; PP ... ...	Periplasmic	28881.98	1 / 0	97.7%
ygiW	 The cellular location of this protein was experimentally confirmed - Function unknown	Periplasmic	14010.8	1 / 0	100%
amiC	 The cellular location of this protein was experimentally confirmed - Putative cell wall amidase	Periplasmic	48958.54	0 / 0	98.8%
tynA	 The cellular location of this protein was experimentally confirmed - Tyramine oxidase	Periplasmic	84378.9	1 / 0	91.6%
rseB	 The cellular location of this protein was experimentally confirmed - Binds periplasmic domain of anti-RpoE sigma factor ... ...	Periplasmic	35749.86	1 / 0	87.6%
torZ	 The cellular location of this protein was experimentally confirmed - Periplasmic trimethylamine oxide (TMAO) reductase; ... ...	Periplasmic	89722.18	1 / 0	100%
emrK	 The cellular location of this protein was experimentally confirmed - EmrKY-TolC multidrug resistance efflux pump; membr ... ...	Periplasmic	42585.57	1 / 1	99%
tauA	 The cellular location of this protein was experimentally confirmed - taurine transporter subunit; periplasmic-binding p ... ...	Periplasmic	36459.66	0 / 0	99.8%
ybiS	 The cellular location of this protein was experimentally confirmed - Function unknown; Rob regulon; low abundance prote ... ...	Periplasmic	33325.39	1 / 1	98.9%
mppA	 The cellular location of this protein was experimentally confirmed - murein tripeptide (L-ala-gamma-D-glutamyl-meso-DAP ... ...	Periplasmic	60672.32	0 / 0	97.9%
csgE	 The cellular location of this protein was experimentally confirmed - predicted periplasmic protein; involved in curli a ... ...	Periplasmic	14878.83	0 / 0	87.3%
csgF	 The cellular location of this protein was experimentally confirmed - predicted periplasmic protein; involved in curli a ... ...	Periplasmic	15055.85	1 / 1	99.7%
sodC	 The cellular location of this protein was experimentally confirmed - Superoxide dismutase; Cu; Zn	Periplasmic	17681.03	0 / 0	98.6%
yphF	 The cellular location of this protein was experimentally confirmed - predicted sugar transporter subunit; periplasmic-b ... ...	Periplasmic	35058.25	1 / 0	99.6%
gsiB	 The cellular location of this protein was experimentally confirmed - glutathione transporter subunit, periplasmic bindi ... ...	Periplasmic	56470.36	1 / 0	99.9%
spy	 The cellular location of this protein was experimentally confirmed - Periplasmic protein induced by zinc; psrt of cpx r ... ...	Periplasmic	18199.17	0 / 0	100%
dsbG	 The cellular location of this protein was experimentally confirmed - Thiol-disulphide oxidase; molecular chaperone; mul ... ...	Periplasmic	29775.77	0 / 0	100%
ivy	 The cellular location of this protein was experimentally confirmed - Inhibitor of C-lysozyme	Periplasmic	16872.38	1 / 0	100%
yagZ	 The cellular location of this protein was experimentally confirmed - Function unknown	Periplasmic	20111.51	1 / 0	99.8%
ybcL	 The cellular location of this protein was experimentally confirmed - Function unknown; periplasmic protein; homologous ... ...	Periplasmic	19476.01	1 / 0	84.7%
ssuA	 The cellular location of this protein was experimentally confirmed - alkanesulfonate transporter subunit; periplasmic-b ... ...	Periplasmic	36277.02	1 / 0	91.4%
ydcS	 The cellular location of this protein was experimentally confirmed - predicted spermidine/putrescine transporter subuni ... ...	Periplasmic	42295.33	0 / 0	100%
ddpA	 The cellular location of this protein was experimentally confirmed - D-Ala-D-Ala transporter subunit; periplasmic-bindi ... ...	Periplasmic	57641.38	1 / 0	99.9%
lsrB	 The cellular location of this protein was experimentally confirmed - AI2 transporter subunit; periplasmic-binding prote ... ...	Periplasmic	36684.96	1 / 0	100%
ynfD	 The cellular location of this protein was experimentally confirmed - Function unknown	Periplasmic	12138.91	0 / 0	99.6%
ycdO	 The cellular location of this protein was experimentally confirmed - Function unknown; acid-inducible; essential gene	Periplasmic	41137.74	0 / 0	100%
yodA	 The cellular location of this protein was experimentally confirmed - Periplasmic cadmium binding protein; induced by ca ... ...	Periplasmic	24761.93	1 / 0	76.6%
yfdX	 The cellular location of this protein was experimentally confirmed - Function unknown	Periplasmic	22977.27	0 / 0	100%
cusF	 The cellular location of this protein was experimentally confirmed - periplasmic copper-binding protein; predicted comp ... ...	Periplasmic	12251.21	0 / 0	99.6%
flgB	 The cellular location of this protein was experimentally confirmed - Flagellar basal body rod subunit; flagellar regulo ... ...	Periplasmic	15240.24	0 / 0	None
flgC	 The cellular location of this protein was experimentally confirmed - Flagellar basal body rod subunit; flagellar regulo ... ...	Periplasmic	13967.99	0 / 0	None
flgF	 The cellular location of this protein was experimentally confirmed - Flagellar basal body rod subunit; flagellar regulo ... ...	Periplasmic	25912.24	0 / 0	None
flgG	 The cellular location of this protein was experimentally confirmed - Flagellar basal body rod major subunit; flagellar ... ...	Periplasmic	27743.97	0 / 0	None
xylF	 The cellular location of this protein was experimentally confirmed - D-xylose transporter subunit; periplasmic-binding ... ...	Periplasmic	35734.14	0 / 0	99.5%
sapA	 The cellular location of this protein was experimentally confirmed - predicted antimicrobial peptide transporter subuni ... ...	Periplasmic	61565.08	1 / 0	100%
flgA	 The cellular location of this protein was experimentally confirmed - Flagellar synthesis; flagellar regulon	Periplasmic	23519.15	1 / 0	96.9%
flgI	 The cellular location of this protein was experimentally confirmed - Basal body P-ring flagellar protein; flagellar reg ... ...	Periplasmic	38169.6	0 / 0	96.8%
torC	 The cellular location of this protein was experimentally confirmed - c-Type cytochrome	Periplasmic with N-terminal membrane anchor	43606.72	1 / 1	None
ccmG	 The cellular location of this protein was experimentally confirmed - Thioredoxin homolog; thiol-disulfide interchange p ... ...	Periplasmic with N-terminal membrane anchor	20809.06	1 / 1	47.8%
ccmE	 The cellular location of this protein was experimentally confirmed - Membrane-anchored periplasmic heme chaperone; make ... ...	Periplasmic with N-terminal membrane anchor	17698.38	1 / 1	95.3%
napC	 The cellular location of this protein was experimentally confirmed - Cytochrome c homolog	Periplasmic with N-terminal membrane anchor	23100.67	1 / 1	None
torY	 The cellular location of this protein was experimentally confirmed - Cytochrome c homolog required for periplasmic redu ... ...	Periplasmic with N-terminal membrane anchor	40286.59	1 / 1	94%
zipA	 The cellular location of this protein was experimentally confirmed - Septal ring structural protein; affects cell divis ... ...	Periplasmic with N-terminal membrane anchor	36475.42	1 / 1	89.2%
yebF	 The cellular location of this protein was experimentally confirmed - Function unknown	Secreted and released	13464.36	1 / 0	98.6%
hlyE	 The cellular location of this protein was experimentally confirmed - Latent hemolysin expressed in presence of Salmonel ... ...	Secreted and released	34002.96	2 / 1	None
