Gene,UniProt,NAME,Description,Structure_ID,PDB,Structure_source,MW,I_inner_membrane,S_inner_membrane,"Copy number (glucose minimal media, pH 7)",LOCALIZATION,Localization_source,INCLUDE,COLOR,NOTES
b2076,P76399,mdtC,Multidrug resistance protein MdtC,REP-b2076_2_1017_5t0o,b2076_2_1017_5t0o-A_clean,SWISS-MODEL,111009.09130000079,,,,Inner_Membrane,EchoLOCATION predicted,,,
b2077,P36554,mdtD,Putative multidrug resistance protein MdtD,,,,50900.32720000011,,,,Inner_Membrane,EchoLOCATION predicted,,,
b2078,P30847,baeS,Signal transduction histidine-protein kinase BaeS,,,,51990.677400000095,,6.393724524597246e-06,4.0,Inner_Membrane,Heinemann 2016,,,
b2079,P69228,baeR,Transcriptional regulatory protein BaeR,REP-4b09,4b09-A_clean,Protein Data Bank,27655.60090000002,8.89668042163483e-08,,150.0,Cytosol,Heinemann 2016,x,,
b2080,P76402,yegP,UPF0339 protein YegP,REP-2k8e,2k8e-A_clean,Protein Data Bank,12024.147899999987,3.5586721686539327e-09,,6.0,Cytosol,EchoLOCATION predicted,x,,
b2081,P76403,yegQ,Uncharacterized protease YegQ,REP-b2081_13_182_5d88,b2081_13_182_5d88-A_clean,SWISS-MODEL,51192.603400000065,2.052167617257101e-07,,346.0,Cytosol,EchoLOCATION predicted,x,,
b2082,P37057,ogrK,Prophage late control protein OgrK,,,,8429.598300000005,,,,Cytosol,EchoLOCATION predicted,,,
b2085,P76406,yegR,Uncharacterized protein YegR,,,,11465.142199999991,,,,Outer_Membrane,EchoLOCATION predicted,,,
b2086,P76407,yegS,Lipid kinase YegS,REP-2bon,2bon-A_clean,Protein Data Bank,32038.28059999999,,,,Cytosol,EchoLOCATION predicted,,,
b2088,P0CF70,insE5,Transposase InsE for insertion sequence IS3E,,,,11543.005199999989,,,,Cytosol,Arbitrary assignment,,,
b2089,P0CF83,insF5,Transposase InsF for insertion sequence IS3E,REP-b2089_3_275_5hoo,b2089_3_275_5hoo-A_clean,SWISS-MODEL,33540.03960000001,,,,Cytosol,EchoLOCATION predicted,,,
b2091,P0A9S3,gatD,Galactitol 1-phosphate 5-dehydrogenase,REP-4uej,4uej-A_clean,Protein Data Bank,37389.704000000034,2.669004126490449e-08,,45.0,Cytosol,iJL1678,x,,
b2092,P69831,gatC,PTS system galactitol-specific EIIC component,,,,48364.434700000034,,7.992155655746558e-06,5.0,Inner_Membrane,iJL1678,,,
b2093,P37188,gatB,PTS system galactitol-specific EIIB component,REP-1tvm,1tvm-A_clean,Protein Data Bank,10221.941199999994,2.1755349191037708e-06,,3668.0,Cytosol,iJL1678,x,,
b2094,P69828,gatA,PTS system galactitol-specific EIIA component,REP-b2094_6_144_1xiz,b2094_6_144_1xiz-A_clean,SWISS-MODEL,16907.251299999993,2.9370907631957123e-06,,4952.0,Cytosol,iJL1678,x,,
b2095,P0C8J8,gatZ,"D-tagatose-1,6-bisphosphate aldolase subunit GatZ",REP-2fiq,2fiq-A_clean,Protein Data Bank,47108.17600000003,4.572893736720303e-07,,771.0,Cytosol,iJL1678,x,,
b2096,P0C8J6,gatY,"D-tagatose-1,6-bisphosphate aldolase subunit GatY",REP-b2096_2_283_1gvf,b2096_2_283_1gvf-A_clean,SWISS-MODEL,30811.576400000024,2.9827603893601045e-06,,5029.0,Cytosol,iJL1678,x,,
b2097,P0A991,fbaB,Fructose-bisphosphate aldolase class 1,REP-b2097_70_343_1ojx,b2097_70_343_1ojx-A_clean,SWISS-MODEL,38108.75040000001,4.157715317044011e-07,,701.0,Cytosol,iJL1678,x,,
b2098,P76417,yegT,Putative nucleoside transporter YegT,,,,47358.594300000026,,,,Inner_Membrane,EchoLOCATION predicted,,,
b2099,P76418,yegU,Uncharacterized protein YegU,REP-b2099_3_329_1t5j,b2099_3_329_1t5j-A_clean,SWISS-MODEL,35620.15390000002,,,,Cytosol,EchoLOCATION predicted,,,
b2100,P76419,yegV,Uncharacterized sugar kinase YegV,REP-b2100_17_319_5c3z,b2100_17_319_5c3z-A_clean,SWISS-MODEL,34385.05990000003,,,,Cytosol,EchoLOCATION predicted,,,
b2101,P0ACM5,yegW,Uncharacterized HTH-type transcriptional regulator YegW,REP-b2101_21_247_4zs8,b2101_21_247_4zs8-A_clean,SWISS-MODEL,28276.863700000016,,,,Cytosol,EchoLOCATION predicted,,,
b2102,P76421,yegX,Uncharacterized protein YegX,REP-b2102_63_266_2wag,b2102_63_266_2wag-A_clean,SWISS-MODEL,31603.610200000003,,,,Inner_Membrane,EchoLOCATION predicted,,,
b2103,P76422,thiD,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,REP-1jxi,1jxi-A_clean,Protein Data Bank,28633.281500000012,1.7793360843269664e-09,,3.0,Cytosol,iJL1678,x,,
b2104,P76423,thiM,Hydroxyethylthiazole kinase,REP-b2104_9_261_1ekk,b2104_9_261_1ekk-A_clean,SWISS-MODEL,27338.87259999998,,,,Cytosol,iJL1678,,,
b2105,P64530,rcnR,Transcriptional repressor RcnR,REP-b2105_9_90_5lbm,b2105_9_90_5lbm-A_clean,SWISS-MODEL,10133.760399999996,2.5029327586199326e-07,,422.0,Cytosol,Heinemann 2016,x,,
b2106,P76425,rcnA,Nickel/cobalt efflux system RcnA,,,,30419.054600000032,,,,Cytosol,Arbitrary assignment,,,
b2107,P64534,rcnB,Nickel/cobalt homeostasis protein RcnB,REP-b2107_32_112_2l1s,b2107_32_112_2l1s-A_clean,SWISS-MODEL,12466.051399999988,2.25507713737024e-06,,501.0,Periplasm,Heinemann 2016,,,
b2108,P33340,yehA,Uncharacterized fimbrial-like protein YehA,,,,36884.4209,,,,Periplasm,EchoLOCATION predicted,,,
b2109,P33341,yehB,Outer membrane usher protein YehB,REP-b2109_51_826_3rfz,b2109_51_826_3rfz-A_clean,SWISS-MODEL,92280.98590000052,,,,Outer_Membrane,EchoLOCATION predicted,,,
b2110,P33342,yehC,Probable fimbrial chaperone YehC,REP-b2110_34_237_1ze3,b2110_34_237_1ze3-A_clean,SWISS-MODEL,26588.724200000026,,,,Periplasm,EchoLOCATION predicted,,,
b2111,P33343,yehD,Uncharacterized fimbrial-like protein YehD,,,,19060.358599999985,,,,Periplasm,EchoLOCATION predicted,,,
b2112,P33344,yehE,Uncharacterized protein YehE,,,,10136.477099999995,,,,Periplasm,EchoLOCATION predicted,,,
b2113,P0AF08,mrp,Iron-sulfur cluster carrier protein,REP-b2113_104_337_2ph1,b2113_104_337_2ph1-A_clean,SWISS-MODEL,39937.6315,7.817216530476471e-07,,1318.0,Cytosol,EchoLOCATION predicted,x,,
b2114,P00959,metG,Methionine--tRNA ligase,REP-1pfv,1pfv-A_clean,Protein Data Bank,76253.84130000038,1.276377084490544e-06,,2152.0,Cytosol,iJL1678,x,,
b2118,P33346,yehI,Uncharacterized protein YehI,,,,138066.08930000046,,,,Cytosol,EchoLOCATION predicted,,,
b2119,P33348,yehL,Uncharacterized protein YehL,REP-b2119_58_317_3k1j,b2119_b2119_58_317_3k1j-A_clean_clean,SWISS-MODEL,39681.85520000006,,,,Cytosol,EchoLOCATION predicted,,,
b2120,P33349,yehM,Uncharacterized protein YehM,,,,83389.20130000038,,,,Cytosol,EchoLOCATION predicted,,,
b2121,P33352,yehP,Uncharacterized protein YehP,,,,42118.66330000007,,,,Cytosol,EchoLOCATION predicted,,,
b2122,P33353,yehQ,Putative uncharacterized protein YehQ,,,,67729.35690000025,,,,Cytosol,EchoLOCATION predicted,,,
b2123,P33354,yehR,Uncharacterized lipoprotein YehR,REP-2joe,2joe-A_clean,Protein Data Bank,16593.942099999986,,,,Outer_Membrane,EchoLOCATION experimental,,,
b2124,P33355,yehS,Uncharacterized protein YehS,REP-b2124_5_150_4e53,b2124_5_150_4e53-A_clean,SWISS-MODEL,17972.612199999985,5.931120281089888e-08,,100.0,Cytosol,EchoLOCATION predicted,x,,
b2125,P0AFT5,btsR,Transcriptional regulatory protein BtsR,REP-b2125_3_238_4kny,b2125_3_238_4kny-A_clean,SWISS-MODEL,27399.40810000003,,,,Cytosol,Arbitrary assignment,,,
b2126,P0AD14,btsS,Sensor histidine kinase BtsS,,,,62091.75230000014,,,,Cytosol,Arbitrary assignment,,,
b2127,P33358,mlrA,HTH-type transcriptional regulator MlrA,REP-b2127_3_243_5c8f,b2127_3_243_5c8f-A_clean,SWISS-MODEL,28045.811500000018,,,,Cytosol,EchoLOCATION predicted,,,
b2128,P33359,yehW,Glycine betaine uptake system permease protein YehW,REP-b2128_44_239_4yms,b2128_44_239_4yms-A_clean,SWISS-MODEL,25514.197399999997,,,,Inner_Membrane,iJL1678,,,
b2129,P33360,yehX,Glycine betaine uptake system ATP-binding protein YehX,REP-b2129_1_236_4u02,b2129_1_236_4u02-A_clean,SWISS-MODEL,34424.10630000003,,,,Cytosol,iJL1678,,,
b2130,P33361,yehY,Glycine betaine uptake system permease protein YehY,,,,41138.05670000002,,,,Inner_Membrane,iJL1678,,,
b2131,P33362,yehZ,Glycine betaine-binding protein YehZ,REP-4wep,4wep-A_clean,Protein Data Bank,32608.876199999984,3.0607833401432395e-07,,68.0,Periplasm,iJL1678,,,
b2132,P33363,bglX,Periplasmic beta-glucosidase,REP-b2132_35_765_3u48,b2132_35_765_3u48-A_clean,SWISS-MODEL,83459.06190000044,9.272373059845697e-07,,206.0,Periplasm,iJL1678,,,
b2133,P06149,dld,D-lactate dehydrogenase,REP-1f0x,1f0x-A_clean,Protein Data Bank,64611.555300000146,1.2811219807154157e-07,,216.0,Cytosol,iJL1678,x,,
b2134,P0AFI5,pbpG,D-alanyl-D-alanine endopeptidase,REP-6azi,6azi-A_clean,Protein Data Bank,33887.033900000075,0.0,,0.0,Periplasm,iJL1678,,,
b2135,P0AD17,yohC,Inner membrane protein YohC,,,,21690.46020000002,,,,Inner_Membrane,EchoLOCATION experimental,,,
b2136,P33366,yohD,Inner membrane protein YohD,,,,21444.316899999998,,,,Inner_Membrane,EchoLOCATION predicted,,,
b2137,P33368,yohF,Uncharacterized oxidoreductase YohF,REP-b2137_3_244_2pnf,b2137_3_244_2pnf-A_clean,SWISS-MODEL,26950.5459,,,,Cytosol,EchoLOCATION predicted,,,
b2139,P33369,mdtQ,Putative multidrug resistance outer membrane protein MdtQ,,,,,,,,Cytosol,Arbitrary assignment,,,
b2140,P33371,dusC,tRNA-dihydrouridine(16) synthase,REP-4bfa,4bfa-A_clean,Protein Data Bank,35199.08470000001,1.7793360843269664e-09,,3.0,Cytosol,iJL1678,x,,
b2141,P60632,yohJ,UPF0299 membrane protein YohJ,REP-b2141_9_121_5a1s,b2141_b2141_9_121_5a1s-A_clean_clean,SWISS-MODEL,14578.539499999992,,,,Inner_Membrane,EchoLOCATION experimental,,,
b2142,P0AD19,yohK,Inner membrane protein YohK,REP-b2142_10_173_5xar,b2142_10_173_5xar-A_clean,SWISS-MODEL,24469.263499999997,,,,Inner_Membrane,EchoLOCATION experimental,,,
b2143,P0ABF6,cdd,Cytidine deaminase,REP-1ctt,1ctt-A_clean,Protein Data Bank,31539.498500000027,1.58954023533209e-07,,268.0,Cytosol,iJL1678,x,,
b2144,P0AFY2,sanA,Protein SanA,REP-b2144_37_185_4wn9,b2144_37_185_4wn9-A_clean,SWISS-MODEL,27286.548500000004,,,,Periplasm,EchoLOCATION predicted,,,
b2145,P64536,yeiS,Uncharacterized protein YeiS,,,,9264.0033,,,,Inner_Membrane,EchoLOCATION predicted,,,
b2146,P76440,preT,NAD-dependent dihydropyrimidine dehydrogenase subunit PreT,REP-b2146_66_410_1hyu,b2146_66_410_1hyu-A_clean,SWISS-MODEL,44328.96830000007,0.0,,0.0,Cytosol,iJL1678,x,,
b2147,P25889,preA,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA,REP-b2147_3_401_1h7w,b2147_3_401_1h7w-A_clean,SWISS-MODEL,45068.398399999984,,,,Cytosol,iJL1678,,,
b2148,P23200,mglC,Galactoside transport system permease protein MglC,,,,35549.717199999955,,0.0,0.0,Inner_Membrane,iJL1678,,,
b2149,P0AAG8,mglA,Galactose/methyl galactoside import ATP-binding protein MglA,REP-b2149_13_494_5kpd,b2149_13_494_5kpd-A_clean,SWISS-MODEL,56414.61080000001,4.74489622487191e-09,,8.0,Cytosol,iJL1678,x,,
b2150,P0AEE5,mglB,D-galactose-binding periplasmic protein,REP-2fvy,2fvy-A_clean,Protein Data Bank,35712.139500000005,4.231082852550949e-06,,940.0,Periplasm,iJL1678,,,
b2151,P25748,galS,HTH-type transcriptional regulator GalS,REP-b2151_1_344_4rzs,b2151_1_344_4rzs-A_clean,SWISS-MODEL,37356.40930000005,,,,Cytosol,EchoLOCATION predicted,,,
b2152,P25747,yeiB,Uncharacterized protein YeiB,,,,43393.07800000003,,,,Inner_Membrane,EchoLOCATION predicted,,,
b2153,P0A6T5,folE,GTP cyclohydrolase 1,REP-1a8r,1a8r-A_clean,Protein Data Bank,24830.33970000001,6.925769152228662e-06,,11677.0,Cytosol,iJL1678,x,,
b2154,P33018,yeiG,S-formylglutathione hydrolase YeiG,REP-b2154_1_276_3s8y,b2154_1_276_3s8y-A_clean,SWISS-MODEL,31258.9278,7.710456365416854e-08,,130.0,Cytosol,iJL1678,x,,
b2155,P17315,cirA,Colicin I receptor,REP-2hdi,2hdi-A_clean,Protein Data Bank,73894.79280000036,,,490.0,Outer_Membrane,iJL1678,,,
b2156,P25737,lysP,Lysine-specific permease,,,,53575.23990000002,,,,Inner_Membrane,iJL1678,,,
b2157,P0ACR4,yeiE,Uncharacterized HTH-type transcriptional regulator YeiE,REP-b2157_3_288_4x6g,b2157_3_288_4x6g-A_clean,SWISS-MODEL,32723.35130000002,2.0758920983814605e-08,,35.0,Cytosol,EchoLOCATION predicted,x,,
b2158,P62723,yeiH,UPF0324 inner membrane protein YeiH,REP-b2158_31_322_5a1s,b2158_b2158_31_322_5a1s-A_clean_clean,SWISS-MODEL,36881.665500000025,,,,Inner_Membrane,EchoLOCATION experimental,,,
b2159,P0A6C1,nfo,Endonuclease 4,REP-1qtw,1qtw-A_clean,Protein Data Bank,31479.15880000001,1.2633286198721462e-07,,213.0,Cytosol,EchoLOCATION predicted,x,,
b2160,P33020,yeiI,Uncharacterized sugar kinase YeiI,REP-b2160_58_361_3kzh,b2160_b2160_58_361_3kzh-A_clean_clean,SWISS-MODEL,39709.76800000013,,,,Cytosol,EchoLOCATION predicted,,,
b2161,P33021,nupX,Putative nucleoside permease NupX,REP-b2161_1_414_5l27,b2161_1_414_5l27-A_clean,SWISS-MODEL,43409.074600000065,,,,Inner_Membrane,EchoLOCATION experimental,,,
b2162,P33022,rihB,Pyrimidine-specific ribonucleoside hydrolase RihB,REP-1q8f,1q8f-A_clean,Protein Data Bank,33747.65119999997,,,,Cytosol,iJL1678,,,
b2163,P0A9E9,yeiL,Regulatory protein YeiL,REP-b2163_5_207_4ev0,b2163_5_207_4ev0-A_clean,SWISS-MODEL,25294.039300000008,,,,Cytosol,EchoLOCATION predicted,,,
b2164,P33024,psuT,Putative pseudouridine transporter,REP-b2164_1_414_5l27,b2164_1_414_5l27-A_clean,SWISS-MODEL,43431.177700000044,,,,Cytosol,Arbitrary assignment,,,
b2165,P33025,psuG,Pseudouridine-5'-phosphate glycosidase,REP-4gim,4gim-A_clean,Protein Data Bank,32909.4922,5.338008252980899e-09,,9.0,Cytosol,Arbitrary assignment,x,,
b2166,P30235,psuK,Pseudouridine kinase,REP-b2166_2_309_3kzh,b2166_2_309_3kzh-A_clean,SWISS-MODEL,33572.60030000004,,,,Cytosol,Arbitrary assignment,,,
b2167,P20966,fruA,PTS system fructose-specific EIIB'BC component,REP-b2167_16_196_4ja0,b2167_16_196_4ja0-A_clean,SWISS-MODEL,57518.474200000026,,2.237803583609036e-05,14.0,Inner_Membrane,iJL1678,x,,
b2168,P0AEW9,fruK,1-phosphofructokinase,REP-b2168_4_312_2jg5,b2168_4_312_2jg5-A_clean,SWISS-MODEL,33755.29100000004,2.8469377349231462e-08,,48.0,Cytosol,iJL1678,x,,
b2169,P69811,fruB,Multiphosphoryl transfer protein,REP-b2169_1_143_1a3a,b2169_1_143_1a3a-A_clean,SWISS-MODEL,39647.34730000006,6.524232309198876e-08,,110.0,Cytosol,iJL1678,x,,
b2170,P33026,setB,Sugar efflux transporter B,,,,42745.588600000025,,,,Inner_Membrane,iJL1678,,,
b2171,P0A6N8,yeiP,Elongation factor P-like protein,REP-b2171_1_189_1ueb,b2171_1_189_1ueb-A_clean,SWISS-MODEL,21532.38050000001,1.913972514707707e-06,,3227.0,Cytosol,EchoLOCATION predicted,x,,
b2172,P33029,yeiQ,Uncharacterized oxidoreductase YeiQ,REP-b2172_8_424_5itg,b2172_8_424_5itg-A_clean,SWISS-MODEL,54031.060700000155,,,,Cytosol,EchoLOCATION predicted,,,
b2173,P33030,yeiR,Zinc-binding GTPase YeiR,REP-b2173_1_324_1nij,b2173_1_324_1nij-A_clean,SWISS-MODEL,36112.80720000002,5.6938754698462924e-08,,96.0,Cytosol,EchoLOCATION predicted,x,,
b2174,P76445,lpxT,Lipid A 1-diphosphate synthase,,,,26758.797600000005,,0.00014705566406573667,92.0,Inner_Membrane,iJL1678,,,
b2175,P0AFV4,mepS,Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase,REP-2k1g,2k1g-A_clean,Protein Data Bank,21039.62630000001,,,1233.0,Outer_Membrane,Heinemann 2016,,,
b2176,P76446,rtn,Protein Rtn,,,,58587.45800000011,,,,Inner_Membrane,EchoLOCATION predicted,,,
b2177,P33913,yejA,Uncharacterized protein YejA,REP-b2177_26_588_4ony,b2177_b2177_26_588_4ony-A_clean_clean,SWISS-MODEL,69668.19710000028,,,,Periplasm,EchoLOCATION predicted,,,
b2178,P0AFU0,yejB,Inner membrane ABC transporter permease protein YejB,,,,40359.75720000003,,,,Inner_Membrane,EchoLOCATION predicted,,,
b2179,P33915,yejE,Inner membrane ABC transporter permease protein YejE,,,,38091.03150000001,,,,Inner_Membrane,EchoLOCATION predicted,,,
b2180,P33916,yejF,Uncharacterized ABC transporter ATP-binding protein YejF,REP-b2180_5_509_2iwh,b2180_5_509_2iwh-A_clean,SWISS-MODEL,58725.29460000008,0.0,,0.0,Cytosol,EchoLOCATION predicted,x,,
b2181,P0AD21,yejG,Uncharacterized protein YejG,,,,12525.10179999999,,,,Cytosol,EchoLOCATION predicted,,,
b2182,P28246,bcr,Bicyclomycin resistance protein,,,,43352.3861000001,,,,Inner_Membrane,EchoLOCATION predicted,,,
b2183,P0AA43,rsuA,Ribosomal small subunit pseudouridine synthase A,REP-1ksk,1ksk-A_clean,Protein Data Bank,25864.985500000017,7.111413217026775e-07,,1199.0,Cytosol,iJL1678,x,,
b2184,P33919,radD,Putative DNA repair helicase RadD,REP-b2184_2_348_1wp9,b2184_2_348_1wp9-A_clean,SWISS-MODEL,66412.33400000018,,,,Cytosol,Arbitrary assignment,,,
b2185,P68919,rplY,50S ribosomal protein L25,REP-1dfu,1dfu-P_clean,Protein Data Bank,10693.310099999992,1.336637266546417e-05,,22536.0,Cytosol,iJL1678,x,,
b2186,P33920,yejK,Nucleoid-associated protein YejK,,,,37822.04180000005,6.026018205587326e-07,,1016.0,Cytosol,Heinemann 2016,,,
b2187,P0AD24,yejL,UPF0352 protein YejL,REP-2jrx,2jrx-A_clean,Protein Data Bank,8288.364699999998,1.8208539262945954e-07,,307.0,Cytosol,EchoLOCATION predicted,x,,
b2188,P0AD27,yejM,Inner membrane protein YejM,,,,67295.16440000023,,6.393724524597246e-06,4.0,Inner_Membrane,Heinemann 2016,,,
b2190,P33924,yejO,Putative uncharacterized outer membrane protein YejO,REP-b2190_28_443_4kh3,b2190_28_443_4kh3-A_clean,SWISS-MODEL,91200.87650000061,,,,Cytosol,EchoLOCATION predicted,,,
b2192,P0CE55,insH8,Transposase InsH for insertion sequence element IS5K,,,,39326.72140000002,,,,Cytosol,EchoLOCATION predicted,,,
b2193,P31802,narP,Nitrate/nitrite response regulator protein NarP,REP-b2193_6_213_2gwr,b2193_6_213_2gwr-A_clean,SWISS-MODEL,23574.692300000006,8.422190799147641e-08,,142.0,Cytosol,EchoLOCATION predicted,x,,
b2194,P0ABM9,ccmH,Cytochrome c-type biogenesis protein CcmH,,,,39088.53410000006,,,,Inner_Membrane,EchoLOCATION predicted,,,
b2195,P0AA86,dsbE,Thiol:disulfide interchange protein DsbE,REP-3k8n,3k8n-A_clean,Protein Data Bank,20808.731199999995,,,,Cytosol,Arbitrary assignment,,,
b2196,P33927,ccmF,Cytochrome c-type biogenesis protein CcmF,,,,71388.58430000031,,,,Inner_Membrane,EchoLOCATION predicted,,,
b2197,P69490,ccmE,Cytochrome c-type biogenesis protein CcmE,REP-1sr3,1sr3-A_clean,Protein Data Bank,17698.109800000002,9.902534335757541e-08,,22.0,Periplasm,iJL1678,,,
b2198,P0ABM5,ccmD,Heme exporter protein D,,,,7745.046500000002,,,,Inner_Membrane,iJL1678,,,
b2199,P0ABM1,ccmC,Heme exporter protein C,,,,27885.006300000045,,,,Inner_Membrane,iJL1678,,,
b2200,P0ABL8,ccmB,Heme exporter protein B,REP-b2200_3_155_5do7,b2200_3_155_5do7-A_clean,SWISS-MODEL,23618.5137,,,,Inner_Membrane,iJL1678,,,
b2201,P33931,ccmA,Cytochrome c biogenesis ATP-binding export protein CcmA,REP-b2201_3_206_4huq,b2201_3_206_4huq-A_clean,SWISS-MODEL,23052.966800000006,,,,Cytosol,iJL1678,,,
b2202,P0ABL5,napC,Cytochrome c-type protein NapC,,,,23100.314100000003,,,,Inner_Membrane,iJL1678,,,
b2203,P0ABL3,napB,"Periplasmic nitrate reductase, electron transfer subunit",REP-b2203_32_148_1ogy,b2203_32_148_1ogy-A_clean,SWISS-MODEL,16296.361399999983,,,,Periplasm,iJL1678,,,
b2204,P33934,napH,Ferredoxin-type protein NapH,,,,31873.19770000004,,,,Inner_Membrane,iJL1678,,,
b2205,P0AAL3,napG,Ferredoxin-type protein NapG,REP-b2205_57_210_1kqf,b2205_b2205_57_210_1kqf-A_clean_clean,SWISS-MODEL,24924.462800000023,,,,Periplasm,iJL1678,,,
b2206,P33937,napA,Periplasmic nitrate reductase,REP-2nya,2nya-A_clean,Protein Data Bank,93040.92820000048,,,,Periplasm,iJL1678,,,
b2207,P0A9I5,napD,Protein NapD,REP-2jsx,2jsx-A_clean,Protein Data Bank,9468.403900000001,,,,Cytosol,iJL1678,,,
b2208,P0AAL0,napF,Ferredoxin-type protein NapF,REP-b2208_33_162_4z3w,b2208_33_162_4z3w-A_clean,SWISS-MODEL,18047.311199999993,,,,Cytosol,EchoLOCATION experimental,,,
b2209,P23827,eco,Ecotin,REP-1slu,1slu-A_clean,Protein Data Bank,18191.833800000004,2.970760300727262e-07,,66.0,Periplasm,Heinemann 2016,,,
b2210,P33940,mqo,Malate:quinone oxidoreductase,,,,60228.898700000136,9.727037260987415e-08,,164.0,Cytosol,iJL1678,,,
b2211,P33941,yojI,ABC transporter ATP-binding/permease protein YojI,REP-b2211_5_537_5mkk,b2211_5_537_5mkk-A_clean,SWISS-MODEL,61552.02270000013,,1.5984311311493116e-06,1.0,Inner_Membrane,Heinemann 2016,x,,
b2212,P05050,alkB,Alpha-ketoglutarate-dependent dioxygenase AlkB,REP-3khc,3khc-A_clean,Protein Data Bank,24075.245400000003,,,,Cytosol,EchoLOCATION predicted,,,
b2213,P06134,ada,Bifunctional transcriptional activator/DNA repair enzyme Ada,REP-1sfe,1sfe-A_clean,Protein Data Bank,39323.44420000002,,,,Cytosol,EchoLOCATION predicted,,,
b2214,P0AB85,apbE,FAD:protein FMN transferase,REP-4xgw,4xgw-A_clean,Protein Data Bank,38548.3655,,,,Inner_Membrane,EchoLOCATION predicted,,,
b2215,P06996,ompC,Outer membrane protein C,REP-2j1n,2j1n-A_clean,Protein Data Bank,40367.58979999997,,,20763.0,Outer_Membrane,iJL1678,,,
b2216,P39838,rcsD,Phosphotransferase RcsD,,,,100370.96250000059,,4.315764054103141e-05,27.0,Inner_Membrane,Heinemann 2016,,,
b2217,P0DMC7,rcsB,Transcriptional regulatory protein RcsB,REP-5i4c,5i4c-A_clean,Protein Data Bank,23670.324800000006,1.1696169194309257e-06,,1972.0,Cytosol,EchoLOCATION predicted,x,,
b2218,P0DMC5,rcsC,Sensor histidine kinase RcsC,,,,106505.21030000066,,,,Inner_Membrane,EchoLOCATION predicted,,,
b2219,Q06067,atoS,Signal transduction histidine-protein kinase AtoS,,,,67789.09980000033,,,,Inner_Membrane,EchoLOCATION predicted,,,
b2220,Q06065,atoC,Acetoacetate metabolism regulatory protein AtoC,REP-b2220_5_455_5m7o,b2220_5_455_5m7o-A_clean,SWISS-MODEL,52175.80480000005,,,,Cytosol,EchoLOCATION predicted,,,
b2221,P76458,atoD,Acetate CoA-transferase subunit alpha,REP-1k6d,1k6d-A_clean,Protein Data Bank,23525.938000000024,,,,Cytosol,iJL1678,,,
b2222,P76459,atoA,Acetate CoA-transferase subunit beta,REP-5dbn,5dbn-B_clean,Protein Data Bank,22959.421200000015,,,,Cytosol,iJL1678,,,
b2223,P76460,atoE,Putative short-chain fatty acid transporter,,,,47527.18760000007,,,,Inner_Membrane,iJL1678,,,
b2224,P76461,atoB,Acetyl-CoA acetyltransferase,REP-5f38,5f38-A_clean,Protein Data Bank,40352.03000000001,,,,Cytosol,iJL1678,,,
b2225,P76462,yfaP,Uncharacterized protein YfaP,,,,28303.32730000002,,,,Periplasm,EchoLOCATION predicted,,,
b2226,P76463,yfaQ,Uncharacterized protein YfaQ,,,,61475.07490000019,,,,Periplasm,EchoLOCATION predicted,,,
b2229,P76466,yfaT,Uncharacterized protein YfaT,,,,23766.89679999999,1.3503455912396646e-08,,3.0,Periplasm,EchoLOCATION predicted,,,
b2230,P17994,yfaA,Uncharacterized protein YfaA,,,,62670.50030000019,,,,Periplasm,EchoLOCATION predicted,,,
b2231,P0AES4,gyrA,DNA gyrase subunit A,REP-3nuh,3nuh-A_clean,Protein Data Bank,96962.34910000052,3.066389185323472e-07,,517.0,Cytosol,Heinemann 2016,x,,
b2232,P17993,ubiG,Ubiquinone biosynthesis O-methyltransferase,REP-4kdc,4kdc-A_clean,Protein Data Bank,26555.14670000002,6.162433972052394e-07,,1039.0,Cytosol,iJL1678,x,,
b2233,P45508,yfaL,Probable autotransporter YfaL,,,,131151.30070000025,,,,Periplasm,EchoLOCATION predicted,,,
b2234,P00452,nrdA,Ribonucleoside-diphosphate reductase 1 subunit alpha,REP-2xap,2xap-A_clean,Protein Data Bank,85774.25910000056,2.4554837963712137e-07,,414.0,Cytosol,iJL1678,x,,
b2235,P69924,nrdB,Ribonucleoside-diphosphate reductase 1 subunit beta,REP-1mxr,1mxr-A_clean,Protein Data Bank,43516.750900000094,2.0343742564138315e-07,,343.0,Cytosol,iJL1678,x,,
b2236,P0ABW3,yfaE,Uncharacterized ferredoxin-like protein YfaE,REP-b2236_2_84_1iue,b2236_2_84_1iue-A_clean,SWISS-MODEL,9292.683899999996,,,,Cytosol,EchoLOCATION predicted,,,
b2237,P27294,inaA,Protein InaA,REP-b2237_2_215_1j7u,b2237_2_215_1j7u-A_clean,SWISS-MODEL,25295.78390000002,,,,Cytosol,EchoLOCATION predicted,,,
b2238,P45505,yfaH,Putative uncharacterized protein YfaH,,,,7516.967799999996,,,,Cytosol,EchoLOCATION predicted,,,
b2239,P09394,glpQ,"Glycerophosphodiester phosphodiesterase, periplasmic",REP-1t8q,1t8q-A_clean,Protein Data Bank,40842.87450000001,2.4261209122605973e-06,,539.0,Periplasm,iJL1678,,,
b2240,P08194,glpT,Glycerol-3-phosphate transporter,REP-1pw4,1pw4-A_clean,Protein Data Bank,50309.81099999998,,8.151998768861489e-05,51.0,Inner_Membrane,iJL1678,x,,
