Gene,UniProt,NAME,Description,Structure_ID,Structure_file,Structure_source,MW,MOLARITY,"Copy number (glucose minimal media, pH 7)",LOCALIZATION,Localization_source,INCLUDE,COLOR,NOTES
b1730,P76210,ydjO,Uncharacterized protein YdjO,REP-E01635,E01635_clean-X_clean.pdb,metaTASSER,30159.37370000003,,,Cytosol,EchoLOCATION predicted,,,
b1731,P0AE60,cedA,Cell division activator CedA,REP-2bn8,2bn8-A_clean.pdb,Protein Data Bank,9376.7007,4.270406602384719e-08,72.0,Cytosol,EchoLOCATION predicted,x,,
b1732,P21179,katE,Catalase HPII,REP-3ttv,3ttv-A_clean.pdb,Protein Data Bank,84161.5419000005,7.829078771038651e-08,132.0,Cytosol,iJL1678,x,,
b1733,P37794,chbG,Chitooligosaccharide deacetylase ChbG,REP-3_249_2i5i.1.A_59dcd01678ed5850569c9046,b1733_3_249_2i5i_clean.pdb,SWISS-MODEL,27773.399400000002,,,Cytosol,EchoLOCATION predicted,,,
b1734,P17411,chbF,6-phospho-beta-glucosidase,REP-5_439_5c3m.1.A_59c9dc28ad01f0b421065188,b1734_5_439_5c3m_clean.pdb,SWISS-MODEL,50511.91050000001,,,Cytosol,iJL1678,,,
b1735,P17410,chbR,HTH-type transcriptional regulator ChbR,REP-22_277_5suw.1.A_59c9f1e27f4bf96a3a0dbd26,b1735_22_277_5suw_clean.pdb,SWISS-MODEL,32967.20000000004,,,Cytosol,EchoLOCATION predicted,,,
b1736,P69791,chbA,"PTS system N,N'-diacetylchitobiose-specific EIIA component",REP-14_116_2wy2.1.A_59cc550eb4c268fb3732014f,b1736_14_116_2wy2_clean.pdb,SWISS-MODEL,12747.639599999995,,,Cytosol,EchoLOCATION predicted,,,
b1737,P17334,chbC,"PTS system N,N'-diacetylchitobiose-specific EIIC component",REP-6_440_3qnq.1.A_59c9da1aad01f04c4090d31e,b1737_6_440_3qnq_clean.pdb,SWISS-MODEL,48331.62050000003,,,Inner_Membrane,EchoLOCATION predicted,,,
b1738,P69795,chbB,"PTS system N,N'-diacetylchitobiose-specific EIIB component",REP-1iib,1iib-A_clean.pdb,Protein Data Bank,11426.412299999987,1.1802929359368876e-07,199.0,Cytosol,Heinemann 2016,x,,
b1739,P0ADB1,osmE,Osmotically-inducible putative lipoprotein OsmE,REP-27_111_4dm5.1.A_59cc67f4afa358453674a1d0,b1739_27_111_4dm5_clean.pdb,SWISS-MODEL,12020.54969999999,,1127.0,Outer_Membrane,Heinemann 2016,,,
b1740,P18843,nadE,NH(3)-dependent NAD(+) synthetase,REP-1wxi,1wxi-A_clean.pdb,Protein Data Bank,30636.457600000005,2.0758920983814607e-06,3500.0,Cytosol,iJL1678,x,,
b1741,P76213,cho,Excinuclease cho,REP-E01646,E01646_clean-X_clean.pdb,metaTASSER,33738.506500000025,,,Cytosol,EchoLOCATION predicted,,,
b1742,P76214,ves,Protein Ves,REP-1_182_5fcc.1.A_59cc2bf4a52be7a83e08f098,b1742_1_182_5fcc_clean.pdb,SWISS-MODEL,21576.620799999986,,,Cytosol,EchoLOCATION predicted,,,
b1743,P77754,spy,Periplasmic chaperone Spy,REP-45_150_3zg1.1.B_59cbc8c17aaa0d76a0877e4c,b1743_45_150_3zg1_clean.pdb,SWISS-MODEL,18198.893699999997,1.071274169050134e-06,238.0,Periplasm,Heinemann 2016,,,
b1744,P76215,astE,Succinylglutamate desuccinylase,REP-1yw6,1yw6-A_clean.pdb,Protein Data Bank,35799.75100000005,,,Cytosol,iJL1678,,,
b1745,P76216,astB,N-succinylarginine dihydrolase,REP-1ynf,1ynf-A_clean.pdb,Protein Data Bank,49297.965000000084,,,Cytosol,iJL1678,,,
b1746,P76217,astD,N-succinylglutamate 5-semialdehyde dehydrogenase,REP-2_486_5u0l.1.A_59ca34aec730d42a9e5e760a,b1746_2_486_5u0l_clean.pdb,SWISS-MODEL,53025.677900000104,,,Cytosol,iJL1678,,,
b1747,P0AE37,astA,Arginine N-succinyltransferase,REP-2_337_1yle.1.A_59f22503ad01f07c18357bee,b1747_2_337_1yle_clean.pdb,SWISS-MODEL,38455.42360000003,,,Cytosol,iJL1678,,,
b1748,P77581,astC,Succinylornithine transaminase,REP-4adb,4adb-A_clean.pdb,Protein Data Bank,43664.844600000026,9.48979244974382e-09,16.0,Cytosol,iJL1678,x,,
b1749,P09030,xthA,Exodeoxyribonuclease III,REP-1ako,1ako-A_clean.pdb,Protein Data Bank,30968.80130000004,3.4222564021888647e-07,577.0,Cytosol,EchoLOCATION predicted,x,,
b1750,P76219,ydjX,TVP38/TMEM64 family membrane protein YdjX,REP-E01655,E01655_clean-X_clean.pdb,metaTASSER,26057.78580000002,,,Inner_Membrane,EchoLOCATION predicted,,,
b1751,P76220,ydjY,Uncharacterized protein YdjY,REP-E01656,E01656_clean-X_clean.pdb,metaTASSER,24125.013400000003,,,Inner_Membrane,EchoLOCATION predicted,,,
b1752,P76221,ydjZ,TVP38/TMEM64 family inner membrane protein YdjZ,REP-E01657,E01657_clean-X_clean.pdb,metaTASSER,26160.021000000008,,,Inner_Membrane,EchoLOCATION predicted,,,
b1753,P76222,ynjA,Uncharacterized protein YnjA,REP-3_172_2oyo.1.A_59cb67f1c730d484c4666cc2,b1753_3_172_2oyo_clean.pdb,SWISS-MODEL,20532.718899999996,,,Cytosol,EchoLOCATION predicted,,,
b1754,P76223,ynjB,Protein YnjB,REP-24_387_5t1p.5.A_59f253a2f4763de483b42bb7,b1754_24_387_5t1p_clean.pdb,SWISS-MODEL,42844.012500000055,3.1508063795592177e-08,7.0,Periplasm,EchoLOCATION predicted,,,
b1755,P76224,ynjC,Inner membrane ABC transporter permease protein YnjC,REP-E01660,E01660_clean-X_clean.pdb,metaTASSER,56242.248500000016,,,Inner_Membrane,EchoLOCATION predicted,,,
b1756,P76909,ynjD,Uncharacterized ABC transporter ATP-binding protein YnjD,REP-2_210_4tqu.1.C_59cacfb3573f204affcb794d,b1756_2_210_4tqu_clean.pdb,SWISS-MODEL,24016.335799999986,,,Cytosol,EchoLOCATION predicted,,,
b1757,P78067,ynjE,Thiosulfate sulfurtransferase YnjE,REP-2wlr,2wlr-A_clean.pdb,Protein Data Bank,48227.988400000104,,,Periplasm,EchoLOCATION predicted,,,
b1758,P76226,ynjF,Inner membrane protein YnjF,REP-E01663,E01663_clean-X_clean.pdb,metaTASSER,22751.547999999995,,,Inner_Membrane,EchoLOCATION predicted,,,
b1759,P77788,nudG,CTP pyrophosphohydrolase,REP-2rrk,2rrk-A_clean.pdb,Protein Data Bank,15045.934699999989,,,Cytosol,iJL1678,,,
b1760,P76227,ynjH,Uncharacterized protein YnjH,REP-E01665,E01665_clean-X_clean.pdb,metaTASSER,9947.307999999995,,,Periplasm,EchoLOCATION predicted,,,
b1761,P00370,gdhA,NADP-specific glutamate dehydrogenase,REP-4bht,4bht-A_clean.pdb,Protein Data Bank,48580.831000000064,3.5776517535534203e-06,6032.0,Cytosol,iJL1678,x,,
b1762,P76228,ynjI,Inner membrane protein YnjI,REP-E01667,E01667_clean-X_clean.pdb,metaTASSER,40345.78390000004,,,Inner_Membrane,EchoLOCATION predicted,,,
b1763,P14294,topB,DNA topoisomerase 3,REP-1i7d,1i7d-A_clean.pdb,Protein Data Bank,73215.9514000004,0.0,0.0,Cytosol,EchoLOCATION predicted,x,,
b1764,P16456,selD,"Selenide, water dikinase",REP-3u0o,3u0o-A_clean.pdb,Protein Data Bank,36686.86010000001,4.145853076481831e-07,699.0,Cytosol,iJL1678,x,,
b1765,P0ACY1,ydjA,Putative NAD(P)H nitroreductase YdjA,REP-3bm1,3bm1-A_clean.pdb,Protein Data Bank,20058.787699999993,1.2401972507758955e-06,2091.0,Cytosol,EchoLOCATION predicted,x,,
b1766,P08395,sppA,Protease 4,REP-SPPA_ECOLI,SPPA_ECOLI_model1_clean-X_clean.pdb,I-TASSER,67218.51570000022,,16.0,Inner_Membrane,Heinemann 2016,x,,
b1767,P0A962,ansA,L-asparaginase 1,REP-2p2d,2p2d-A_clean.pdb,Protein Data Bank,37126.801600000035,2.12334106063018e-07,358.0,Cytosol,iJL1678,x,,
b1768,P21369,pncA,Nicotinamidase,REP-2_211_2wta.1.A_59cae070afa3581d29e28ef9,b1768_2_211_2wta_clean.pdb,SWISS-MODEL,23361.7852,2.2538257068141573e-08,38.0,Cytosol,iJL1678,x,,
b1769,P38055,ydjE,Inner membrane metabolite transport protein YdjE,REP-E01674,E01674_clean-X_clean.pdb,metaTASSER,50317.3437,,,Inner_Membrane,EchoLOCATION predicted,,,
b1770,P77721,ydjF,Uncharacterized HTH-type transcriptional regulator YdjF,REP-18_249_3h5t.1.A_59ca40d6140550807234b56b,b1770_18_249_3h5t_clean.pdb,SWISS-MODEL,28261.141400000026,5.9311202810898875e-09,10.0,Cytosol,EchoLOCATION predicted,x,,
b1771,P77256,ydjG,Uncharacterized oxidoreductase YdjG,REP-1_323_1pz1.1.A_59f260b5e6291d7c5fe9f70b,b1771_1_323_1pz1_clean.pdb,SWISS-MODEL,36328.40850000005,,,Periplasm,EchoLOCATION predicted,,,
b1772,P77493,ydjH,Uncharacterized sugar kinase YdjH,REP-3h49,3h49-A_clean.pdb,Protein Data Bank,34120.87980000003,,,Cytosol,EchoLOCATION predicted,,,
b1773,P77704,ydjI,Uncharacterized protein YdjI,REP-2_277_3q94.1.A_59c9f40b7f4bf919ba6afaca,b1773_2_277_3q94_clean.pdb,SWISS-MODEL,30809.441000000017,,,Cytosol,iJL1678,,,
b1774,P77280,ydjJ,Uncharacterized zinc-type alcohol dehydrogenase-like protein YdjJ,REP-5vm2,5vm2-A_clean.pdb,Protein Data Bank,37700.37410000001,,,Cytosol,EchoLOCATION predicted,,,
b1775,P76230,ydjK,Putative metabolite transport protein YdjK,REP-E01680,E01680_clean-X_clean.pdb,metaTASSER,49601.37509999998,,,Inner_Membrane,EchoLOCATION predicted,,,
b1776,P77539,ydjL,Uncharacterized zinc-type alcohol dehydrogenase-like protein YdjL,REP-1_354_5kia.1.A_59f1ead93d4e1db50dd32069,b1776_1_354_5kia_clean.pdb,SWISS-MODEL,38731.31520000005,,,Cytosol,EchoLOCATION predicted,,,
b1777,P76231,yeaC,Uncharacterized protein YeaC,REP-E01682,E01682_clean-X_clean.pdb,metaTASSER,10337.908899999993,4.626273819250112e-08,78.0,Cytosol,EchoLOCATION predicted,x,,
b1778,P0A746,msrB,Peptide methionine sulfoxide reductase MsrB,REP-3_131_2k8d.1.A_59cc1ce1e6291d519642b2da,b1778_3_131_2k8d_clean.pdb,SWISS-MODEL,15451.016599999992,3.772192498773169e-07,636.0,Cytosol,iJL1678,x,,
b1779,P0A9B2,gapA,Glyceraldehyde-3-phosphate dehydrogenase A,REP-1s7c,1s7c-A_clean.pdb,Protein Data Bank,35532.06830000002,2.550678276882706e-05,43005.0,Cytosol,iJL1678,x,,
b1780,P39173,yeaD,Putative glucose-6-phosphate 1-epimerase,REP-2htb,2htb-A_clean.pdb,Protein Data Bank,32665.683900000036,1.4554969169794584e-06,2454.0,Cytosol,EchoLOCATION experimental,x,,
b1781,P76234,yeaE,Uncharacterized protein YeaE,REP-2_284_4wgh.1.A_59c9e7a7c730d43ddf423d96,b1781_2_284_4wgh_clean.pdb,SWISS-MODEL,30986.260200000008,,,Cytosol,iJL1678,,,
b1782,P0A908,mipA,MltA-interacting protein,REP-E01687,E01687_clean-X_clean.pdb,metaTASSER,27830.632900000008,,2791.0,Outer_Membrane,Heinemann 2016,,,
b1783,P0ACY3,yeaG,Uncharacterized protein YeaG,REP-YEAG_ECOLI,YEAG_ECOLI_model1_clean-X_clean.pdb,I-TASSER,74479.42050000024,3.440049763032135e-08,58.0,Cytosol,EchoLOCATION predicted,x,,
b1784,P76235,yeaH,UPF0229 protein YeaH,REP-E01689,E01689_clean-X_clean.pdb,metaTASSER,49391.83920000012,,,Cytosol,EchoLOCATION predicted,,,
b1785,P76236,yeaI,Inner membrane protein YeaI,REP-E01690,E01690_clean-X_clean.pdb,metaTASSER,56100.75420000008,,,Inner_Membrane,EchoLOCATION predicted,,,
b1786,P76237,yeaJ,Putative diguanylate cyclase YeaJ,REP-E01691,E01691_clean-X_clean.pdb,metaTASSER,56601.874300000054,,,Inner_Membrane,EchoLOCATION predicted,,,
b1787,P64483,yeaK,Uncharacterized protein YeaK,REP-8_165_1vjf.1.A_59cb8eba1405508b0a0b4ab2,b1787_8_165_1vjf_clean.pdb,SWISS-MODEL,17850.43119999999,2.425828194965764e-07,409.0,Cytosol,EchoLOCATION predicted,x,,
b1788,P76239,yoaI,Uncharacterized protein YoaI,REP-E01693,E01693_clean-X_clean.pdb,metaTASSER,3771.4856999999993,,,Cytosol,Arbitrary assignment,,,
b1789,P0ACY6,yeaL,UPF0756 membrane protein YeaL,REP-E01694,E01694_clean-X_clean.pdb,metaTASSER,15255.382199999985,,,Inner_Membrane,EchoLOCATION predicted,,,
b1790,P76241,nimR,HTH-type transcriptional regulator NimR,REP-E01695,E01695_clean-X_clean.pdb,metaTASSER,30553.198599999996,,,Cytosol,Arbitrary assignment,,,
b1791,P76242,nimT,2-nitroimidazole transporter,REP-E01696,E01696_clean-X_clean.pdb,metaTASSER,41207.76340000004,,,Cytosol,Arbitrary assignment,,,
b1792,P76243,yeaO,Uncharacterized protein YeaO,REP-E01697,E01697_clean-X_clean.pdb,metaTASSER,13386.042899999982,6.168365092333483e-08,104.0,Cytosol,EchoLOCATION predicted,x,,
b1793,P64493,yoaF,Uncharacterized protein YoaF,REP-E01698,E01698_clean-X_clean.pdb,metaTASSER,8942.2877,,,Outer_Membrane,EchoLOCATION experimental,,,
b1794,P76245,yeaP,Probable diguanylate cyclase YeaP,REP-7_335_4zmu.1.A_59f247fbeb80f78b70e23577,b1794_7_335_4zmu_clean.pdb,SWISS-MODEL,38545.158800000056,5.9311202810898875e-09,10.0,Cytosol,EchoLOCATION predicted,x,,
b1795,P64485,yeaQ,UPF0410 protein YeaQ,REP-E01702,E01702_clean-X_clean.pdb,metaTASSER,8670.468499999997,,,Inner_Membrane,EchoLOCATION predicted,,,
b1796,P64496,yoaG,Protein YoaG,REP-1nei,1nei-A_clean.pdb,Protein Data Bank,6608.221300000001,,,Cytosol,EchoLOCATION predicted,,,
b1797,P64488,yeaR,Uncharacterized protein YeaR,REP-3bb6,3bb6-A_clean.pdb,Protein Data Bank,13611.289499999992,,,Cytosol,EchoLOCATION predicted,,,
b1798,P76249,leuE,Leucine efflux protein,REP-E01705,E01705_clean-X_clean.pdb,metaTASSER,23200.354900000002,,,Cytosol,Arbitrary assignment,,,
b1799,P76250,dmlR,HTH-type transcriptional regulator DmlR,REP-5_296_3hhg.1.B_59f2c2daa52be7283b76b2cc,b1799_5_296_3hhg_clean.pdb,SWISS-MODEL,34630.465800000056,,,Cytosol,Arbitrary assignment,,,
b1800,P76251,dmlA,D-malate dehydrogenase [decarboxylating],REP-4_361_3fmx.1.D_59f1f2b47aaa0d1f6ca6acb3,b1800_4_361_3fmx_clean.pdb,SWISS-MODEL,40314.46760000003,,,Cytosol,iJL1678,,,
b1801,P0ABD1,yeaV,Uncharacterized transporter YeaV,REP-2_445_4m8j.1.A_59ca253dc730d4856d8d507f,b1801_2_445_4m8j_clean.pdb,SWISS-MODEL,52880.51950000005,,,Inner_Membrane,iJL1678,,,
b1802,P0ABR7,yeaW,Putative dioxygenase subunit alpha YeaW,REP-17_373_2b1x.1.A_59f22eb33d4e1de887a81d91,b1802_17_373_2b1x_clean.pdb,SWISS-MODEL,42560.32000000006,,,Cytosol,EchoLOCATION predicted,,,
b1803,P76254,yeaX,Putative dioxygenase subunit beta YeaX,REP-6_321_2pia.1.A_59f27323e6291da857a0c73d,b1803_6_321_2pia_clean.pdb,SWISS-MODEL,35660.84000000003,,,Cytosol,EchoLOCATION predicted,,,
b1804,P09155,rnd,Ribonuclease D,REP-1yt3,1yt3-A_clean.pdb,Protein Data Bank,42733.75860000003,,,Cytosol,iJL1678,,,
b1805,P69451,fadD,Long-chain-fatty-acid--CoA ligase,REP-21_553_5bsr.1.A_59cacb89573f20866a5cf42e,b1805_21_553_5bsr_clean.pdb,SWISS-MODEL,62331.2346000001,2.4317593152468537e-08,41.0,Cytosol,iJL1678,x,,
b1806,P0AA91,yeaY,Uncharacterized lipoprotein YeaY,REP-E01713,E01713_clean-X_clean.pdb,metaTASSER,20920.870299999973,,90.0,Outer_Membrane,Heinemann 2016,,,
b1807,P76256,tsaB,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,REP-1okj,1okj-A_clean.pdb,Protein Data Bank,25180.535100000005,2.4910705180577527e-08,42.0,Cytosol,Heinemann 2016,x,,
b1808,P76257,yoaA,Probable ATP-dependent helicase YoaA,REP-36_636_5h8w.1.A_59cb69c3c730d42641405071,b1808_36_636_5h8w_clean.pdb,SWISS-MODEL,70377.13650000033,,,Cytosol,EchoLOCATION predicted,,,
b1809,P0AEB7,yoaB,RutC family protein YoaB,REP-3gtz,3gtz-A_clean.pdb,Protein Data Bank,12493.07839999999,1.0865812354956673e-06,1832.0,Cytosol,EchoLOCATION predicted,x,,
b1810,P64490,yoaC,Uncharacterized protein YoaC,REP-1_99_2jn8.1.A_59cca44f7f4bf94cbb142b50,b1810_1_99_2jn8_clean.pdb,SWISS-MODEL,10835.288799999998,1.7793360843269664e-09,3.0,Cytosol,EchoLOCATION predicted,x,,
b1811,P67338,yoaH,UPF0181 protein YoaH,REP-E01718,E01718_clean-X_clean.pdb,metaTASSER,6554.233699999997,,,Cytosol,EchoLOCATION predicted,,,
b1812,P05041,pabB,Aminodeoxychorismate synthase component 1,REP-1k0e,1k0e-A_clean.pdb,Protein Data Bank,50968.933900000055,1.7793360843269664e-08,30.0,Cytosol,iJL1678,x,,
b1813,P43337,nudL,Uncharacterized Nudix hydrolase NudL,REP-5_180_5t3p.1.A_59cc2bcba52be7a83e08edd2,b1813_5_180_5t3p_clean.pdb,SWISS-MODEL,21435.360799999995,,,Cytosol,Arbitrary assignment,,,
b1814,P16095,sdaA,L-serine dehydratase 1,REP-2_451_4rqo.1.A_59c9e7a2c730d43ddf423d2d,b1814_2_451_4rqo_clean.pdb,SWISS-MODEL,48906.135100000065,1.1269128534070786e-08,19.0,Cytosol,iJL1678,x,,
b1815,P76261,adrB,Putative cyclic-di-GMP phosphodiesterase AdrB,REP-E01722,E01722_clean-X_clean.pdb,metaTASSER,59710.674600000115,,,Cytosol,Arbitrary assignment,,,
b1816,P0AEC0,yoaE,UPF0053 inner membrane protein YoaE,REP-E01723,E01723_clean-X_clean.pdb,metaTASSER,56527.3577000001,,12.0,Inner_Membrane,Heinemann 2016,x,,
b1817,P69797,manX,PTS system mannose-specific EIIAB component,REP-E01724,E01724_clean-X_clean.pdb,metaTASSER,35047.13200000002,7.33679578770819e-07,1237.0,Cytosol,iJL1678,x,,
b1818,P69801,manY,PTS system mannose-specific EIIC component,REP-E01725,E01725_clean-X_clean.pdb,metaTASSER,27635.475899999983,,202.0,Inner_Membrane,iJL1678,x,,
b1819,P69805,manZ,PTS system mannose-specific EIID component,REP-E01726,E01726_clean-X_clean.pdb,metaTASSER,30955.114399999984,,111.0,Inner_Membrane,iJL1678,x,,
b1820,P67601,yobD,UPF0266 membrane protein YobD,REP-E01727,E01727_clean-X_clean.pdb,metaTASSER,17615.0351,,,Inner_Membrane,EchoLOCATION predicted,,,
b1821,P76264,mntP,Probable manganese efflux pump MntP,REP-E01728,E01728_clean-X_clean.pdb,metaTASSER,20116.743299999995,,,Cytosol,Arbitrary assignment,,,
b1822,P36999,rlmA,23S rRNA (guanine(745)-N(1))-methyltransferase,REP-1p91,1p91-A_clean.pdb,Protein Data Bank,30418.566300000017,2.313136909625056e-08,39.0,Cytosol,iJL1678,x,,
b1823,P0A9Y6,cspC,Cold shock-like protein CspC,REP-3i2z,3i2z-A_clean.pdb,Protein Data Bank,7402.270399999999,3.7857154530140535e-05,63828.0,Cytosol,Heinemann 2016,x,,
b1824,P64508,yobF,Protein YobF,REP-E01731,E01731_clean-X_clean.pdb,metaTASSER,5212.116599999999,,,Cytosol,EchoLOCATION predicted,,,
b1825,P64499,yebO,Uncharacterized protein YebO,REP-E01732,E01732_clean-X_clean.pdb,metaTASSER,10792.34189999999,,479.0,Outer_Membrane,Heinemann 2016,,,
b1826,P64512,mgrB,PhoP/PhoQ regulator MgrB,REP-E01733,E01733_clean-X_clean.pdb,metaTASSER,5551.744099999998,,,Cytosol,Arbitrary assignment,,,
b1827,P76268,kdgR,Transcriptional regulator KdgR,REP-13_258_1mkm.1.A_59ca274ec730d413295d2969,b1827_13_258_1mkm_clean.pdb,SWISS-MODEL,30028.99370000003,2.467346036933393e-07,416.0,Cytosol,EchoLOCATION predicted,x,,
b1828,P76269,yebQ,Uncharacterized transporter YebQ,REP-E01736,E01736_clean-X_clean.pdb,metaTASSER,48151.13550000006,,,Inner_Membrane,EchoLOCATION predicted,,,
b1829,P23894,htpX,Protease HtpX,REP-E01737,E01737_clean-X_clean.pdb,metaTASSER,31922.96859999999,,601.0,Inner_Membrane,Heinemann 2016,x,,
b1830,P23865,prc,Tail-specific protease,REP-5wql,5wql-C_clean.pdb,Protein Data Bank,76662.12950000037,,487.0,Inner_Membrane,Heinemann 2016,x,,
b1831,P45577,proQ,RNA chaperone ProQ,REP-E01739,E01739_clean-X_clean.pdb,metaTASSER,25892.208000000006,1.358226544369584e-06,2290.0,Cytosol,Heinemann 2016,x,,
b1832,P76270,msrC,Free methionine-R-sulfoxide reductase,REP-1vhm,1vhm-A_clean.pdb,Protein Data Bank,18121.405499999983,4.6915161423421014e-07,791.0,Cytosol,Arbitrary assignment,x,,
b1833,P0AD03,yebS,Inner membrane protein YebS,REP-E01741,E01741_clean-X_clean.pdb,metaTASSER,48272.857100000074,,,Inner_Membrane,EchoLOCATION predicted,,,
b1834,P76272,yebT,Uncharacterized protein YebT,REP-YEBT_ECOLI,YEBT_ECOLI_model1_clean-X_clean.pdb,I-TASSER,94969.27450000061,,3.0,Inner_Membrane,Heinemann 2016,x,,
b1835,P76273,rsmF,Ribosomal RNA small subunit methyltransferase F,REP-2frx,2frx-A_clean.pdb,Protein Data Bank,53226.89690000005,6.109053889522585e-08,103.0,Cytosol,iJL1678,x,,
b1836,P64503,yebV,Uncharacterized protein YebV,REP-E01744,E01744_clean-X_clean.pdb,metaTASSER,8752.7064,5.1007634417373035e-08,86.0,Cytosol,EchoLOCATION predicted,x,,
b1837,P76275,yebW,Uncharacterized protein YebW,REP-E01745,E01745_clean-X_clean.pdb,metaTASSER,7315.1662,,,Cytosol,EchoLOCATION predicted,,,
b1838,P55798,pphA,Serine/threonine-protein phosphatase 1,REP-8_218_1g5b.1.A_59cab7e9c730d4536f671ef9,b1838_8_218_1g5b_clean.pdb,SWISS-MODEL,25273.541400000013,,,Cytosol,EchoLOCATION predicted,,,
b1839,P64506,yebY,Uncharacterized protein YebY,REP-E01747,E01747_clean-X_clean.pdb,metaTASSER,12378.289399999983,5.937019449483726e-06,1319.0,Periplasm,EchoLOCATION predicted,,,
b1840,P76278,yebZ,Inner membrane protein YebZ,REP-E01748,E01748_clean-X_clean.pdb,metaTASSER,32525.94910000005,,,Inner_Membrane,EchoLOCATION experimental,,,
b1841,P0AA57,yobA,Protein YobA,REP-27_124_1ot4.1.A_59ce07ab14055034ebdc316f,b1841_27_124_1ot4_clean.pdb,SWISS-MODEL,13410.040999999985,1.1657983604369103e-06,259.0,Periplasm,Heinemann 2016,,,
b1842,P0ABS8,holE,DNA polymerase III subunit theta,REP-1du2,1du2-A_clean.pdb,Protein Data Bank,8846.188699999992,2.4317593152468537e-08,41.0,Cytosol,EchoLOCATION predicted,x,,
b1843,P76280,yobB,Uncharacterized protein YobB,REP-1_208_5h8k.1.B_59cabacdc730d41bc094234d,b1843_1_208_5h8k_clean.pdb,SWISS-MODEL,24394.78359999998,,,Cytosol,EchoLOCATION predicted,,,
b1844,P0AEK0,exoX,Exodeoxyribonuclease 10,REP-E01752,E01752_clean-X_clean.pdb,metaTASSER,25132.80310000002,,,Cytosol,EchoLOCATION predicted,,,
b1845,P24555,ptrB,Protease 2,REP-3_680_2xe4.1.A_59cb99231405500b0a960d9d,b1845_3_680_2xe4_clean.pdb,SWISS-MODEL,79489.57080000044,,,Cytosol,EchoLOCATION predicted,,,
b1846,P33218,yebE,Inner membrane protein YebE,REP-E01754,E01754_clean-X_clean.pdb,metaTASSER,23686.547699999996,,123.0,Inner_Membrane,Heinemann 2016,x,,
b1847,P33219,yebF,Protein YebF,REP-2lqv,2lqv-A_clean.pdb,Protein Data Bank,12961.577799999995,,263.0,Extracellular,Heinemann 2016,,,
b1848,P0ACY9,yebG,Uncharacterized protein YebG,REP-E01756,E01756_clean-X_clean.pdb,metaTASSER,10716.888499999994,1.7081626409538876e-07,288.0,Cytosol,EchoLOCATION predicted,x,,
b1849,P33221,purT,Formate-dependent phosphoribosylglycinamide formyltransferase,REP-1eyz,1eyz-A_clean.pdb,Protein Data Bank,42433.18070000004,8.973784985289e-07,1513.0,Cytosol,iJL1678,x,,
b1850,P0A955,eda,KHG/KDPG aldolase,REP-1wbh,1wbh-A_clean.pdb,Protein Data Bank,22283.75649999999,1.8143296939853966e-06,3059.0,Cytosol,iJL1678,x,,
b1851,P0ADF6,edd,Phosphogluconate dehydratase,REP-2_598_2gp4.1.A_59cb34cbafa3583eb123828c,b1851_2_598_2gp4_clean.pdb,SWISS-MODEL,64638.30970000024,3.67729457427573e-08,62.0,Cytosol,iJL1678,x,,
b1852,P0AC53,zwf,Glucose-6-phosphate 1-dehydrogenase,REP-8_488_5ukw.1.A_59ca366dc730d463a2099193,b1852_8_488_5ukw_clean.pdb,SWISS-MODEL,55703.77830000008,8.018874620033528e-07,1352.0,Cytosol,iJL1678,x,,
b1853,P46118,hexR,HTH-type transcriptional regulator HexR,REP-2_274_4ivn.1.A_59fcc1d2573f2074386cc326,b1853_2_274_4ivn_clean.pdb,SWISS-MODEL,31975.219800000013,2.2538257068141573e-08,38.0,Cytosol,Arbitrary assignment,x,,
b1854,P21599,pykA,Pyruvate kinase II,REP-5_480_2e28.1.A_59ca2476c730d45661098ab2,b1854_5_480_2e28_clean.pdb,SWISS-MODEL,51356.58870000014,7.728249726260123e-07,1303.0,Cytosol,iJL1678,x,,
b1855,P24205,lpxM,Lipid A biosynthesis myristoyltransferase,REP-26_317_5knk.1.A_59f26c0c573f20421171b8ac,b1855_26_317_5knk_clean.pdb,SWISS-MODEL,37409.95179999998,,30.0,Inner_Membrane,iJL1678,x,,
b1856,P0AFS9,mepM,Murein DD-endopeptidase MepM,REP-E01764,E01764_clean-X_clean.pdb,metaTASSER,49057.15370000004,,,Cytosol,Arbitrary assignment,,,
b1857,P39172,znuA,High-affinity zinc uptake system protein ZnuA,REP-2prs,2prs-A_clean.pdb,Protein Data Bank,33776.96280000002,1.6744285331371843e-06,372.0,Periplasm,iJL1678,,,
b1858,P0A9X1,znuC,Zinc import ATP-binding protein ZnuC,REP-E01766,E01766_clean-X_clean.pdb,metaTASSER,27867.135800000025,,,Cytosol,iJL1678,,,
b1859,P39832,znuB,High-affinity zinc uptake system membrane protein ZnuB,REP-E01767,E01767_clean-X_clean.pdb,metaTASSER,27728.341300000007,,,Inner_Membrane,iJL1678,,,
b1860,P0A812,ruvB,Holliday junction ATP-dependent DNA helicase RuvB,REP-22_334_1hqc.2.A_59f2660d7aaa0d35e18a804d,b1860_22_334_1hqc_clean.pdb,SWISS-MODEL,37173.32970000002,4.74489622487191e-08,80.0,Cytosol,Heinemann 2016,x,,
b1861,P0A809,ruvA,Holliday junction ATP-dependent DNA helicase RuvA,REP-1cuk,1cuk-A_clean.pdb,Protein Data Bank,22085.42149999999,4.74489622487191e-08,80.0,Cytosol,EchoLOCATION predicted,x,,
