Gene Name	Function	Subcellular Location	Predicted Molecular weight (Da)	Number of TMH (HMMTOP / TMHMM)	Signal Peptide Cleavage Prob
yeiI	Function unknown	Cytoplasmic	39710.38	0 / 0	None
nupX	 The cellular location of this protein was experimentally confirmed predicted nucleoside transporter; member of concen ... ...	Integral Membrane Protein	43409.78	12 / 8	None
rihB	Ribonucleoside hydrolase; pyrimidine specific; sil ... ...	Cytoplasmic	33748.18	1 / 0	None
yeiL	Enhanced loss of viability under nitrogen starvati ... ...	Cytoplasmic	25294.44	0 / 0	None
yeiM	 The cellular location of this protein was experimentally confirmed predicted nucleoside transporter; member of concen ... ...	Integral Membrane Protein	43431.9	12 / 8	53.4%
yeiN	Function unknown	Cytoplasmic	32909.99	1 / 0	None
setB	lactose/glucose efflux system; member of major fac ... ...	Integral Membrane Protein	42746.3	12 / 12	80.7%
yeiP	Function unknown; low abundance protein; non-essen ... ...	Cytoplasmic	30895.47	0 / 0	None
yeiQ	Function unknown	Cytoplasmic	54031.89	0 / 0	None
yejA	predicted oligopeptide transporter subunit; peripl ... ...	Periplasmic	69928.6	1 / 1	91.1%
yejB	predicted oligopeptide transporter subunit; membra ... ...	Integral Membrane Protein	40360.42	6 / 6	None
yejE	predicted oligopeptide transporter subunit; membra ... ...	Integral Membrane Protein	38091.65	6 / 6	72.6%
yejF	predicted oligopeptide transporter subunit; ATP-bi ... ...	Cytoplasmic	58726.2	0 / 0	None
yejG	Function unknown	Cytoplasmic	12525.3	0 / 0	None
yejL	Function unknown	Cytoplasmic	8288.49	1 / 0	None
rsuA	16S RNA pseudouridine 516 synthase	Cytoplasmic	25865.37	0 / 0	None
yejH	Function unknown	Cytoplasmic	66413.36	0 / 0	None
yejK	Spermidine nucleoid-associated protein; function u ... ...	Cytoplasmic	37822.61	1 / 0	None
yejM	 The cellular location of this protein was experimentally confirmed Function unknown	Integral Membrane Protein	67296.22	5 / 5	None
yejO	Function unknown; interrupted by IS5K	cytoplasmic	88476.02	0 / 0	None
ccmH	Heme lyase; with CcmF; required for transfer of he ... ...	Integral Membrane Protein	39089.14	3 / 3	99.9%
ccmG	 The cellular location of this protein was experimentally confirmed Thioredoxin homolog; thiol-disulfide interchange p ... ...	Periplasmic with N-terminal membrane anchor	20809.06	1 / 1	47.8%
ccmF	Heme lyase; with CcmH; required for transfer of he ... ...	Integral Membrane Protein	71389.75	15 / 15	None
ccmE	 The cellular location of this protein was experimentally confirmed Membrane-anchored periplasmic heme chaperone; make ... ...	Periplasmic with N-terminal membrane anchor	17698.38	1 / 1	95.3%
ccmC	heme binding transporter subunit; membrane compone ... ...	Integral Membrane Protein	27885.47	6 / 6	None
ccmB	predicted transporter subunit; membrane component; ... ...	Integral Membrane Protein	23618.92	6 / 6	None
ccmA	predicted transporter subunit; ATP-binding compone ... ...	Cytoplasmic	22865.07	0 / 0	None
napC	 The cellular location of this protein was experimentally confirmed Cytochrome c homolog	Periplasmic with N-terminal membrane anchor	23100.67	1 / 1	None
napB	 The cellular location of this protein was experimentally confirmed Diheme c type cytochrome component of periplasmic ... ...	Periplasmic	17090.5	1 / 0	99.8%
napH	Ferredoxin homolog	Integral Membrane Protein	31873.71	5 / 4	None
napG	 The cellular location of this protein was experimentally confirmed Ferredoxin homolog	Periplasmic	24924.84	1 / 0	35.8%
napA	 The cellular location of this protein was experimentally confirmed Periplasmic nitrate reductase	Periplasmic	93042.34	1 / 0	97.7%
napF	 The cellular location of this protein was experimentally confirmed Ferredoxin homolog	Cytoplasmic	18047.59	0 / 0	None
mqo	 The cellular location of this protein was experimentally confirmed Malate oxidoreductase; possibly previously describ ... ...	Membrane associated	60229.8	0 / 0	53.9%
yojI	predicted multidrug efflux system;ATP-binding and ... ...	Integral Membrane Protein	61553.0	5 / 6	41.3%
apbE	Salmonella ortholog is a lipoprotein involved in t ... ...	Inner membrane lipoprotein	38548.94	0 / 0	None
mokC	Overlapping regulatory peptide whose translation e ... ...	Periplasmic	7742.32	1 / 1	93.9%
nikA	 The cellular location of this protein was experimentally confirmed nickel transporter subunit; periplasmic-binding pr ... ...	Periplasmic	58719.17	1 / 0	100%
nikB	nickel transporter subunit; membrane component; me ... ...	Integral Membrane Protein	35248.28	6 / 6	26.1%
nikC	 The cellular location of this protein was experimentally confirmed nickel transporter subunit; membrane component; me ... ...	Integral Membrane Protein	30362.11	5 / 6	90.5%
nikD	nickel transporter subunit; ATP-binding component; ... ...	Cytoplasmic	26820.52	0 / 0	None
nikE	nickel transporter subunit; ATP-binding component; ... ...	Cytoplasmic	29721.77	0 / 0	None
recX	Inhibitor of RecA ATPase; recombinase and coprotea ... ...	Cytoplasmic	19424.14	0 / 0	None
ppdA	Function unknown; regulated by FlhDC and FliA; mut ... ...	Periplasmic	17865.48	1 / 1	88.8%
nuoA	NADH:quinone oxidoreductase subunit A; complex I; ... ...	Integral Membrane Protein	16457.4	3 / 3	None
nuoB	 The cellular location of this protein was experimentally confirmed NADH:quinone oxidoreductase subunit B; complex I; ... ...	Cytoplasmic	25055.95	0 / 0	None
nuoC	 The cellular location of this protein was experimentally confirmed NADH:quinone oxidoreductase subunit C; complex I; ... ...	Cytoplasmic	68694.9	0 / 0	None
nuoE	 The cellular location of this protein was experimentally confirmed NADH:quinone oxidoreductase subunit E; complex I; ... ...	Cytoplasmic	18590.13	1 / 0	None
nuoG	 The cellular location of this protein was experimentally confirmed NADH:quinone oxidoreductase subunit G; complex I; ... ...	Cytoplasmic	100543.92	0 / 0	None
nuoH	 The cellular location of this protein was experimentally confirmed NADH:quinone oxidoreductase subunit H; complex I; ... ...	Integral Membrane Protein	36219.33	8 / 8	None
nuoI	 The cellular location of this protein was experimentally confirmed NADH:quinone oxidoreductase subunit I; complex I; ... ...	Cytoplasmic	20537.87	0 / 0	None
nuoJ	NADH:quinone oxidoreductase subunit J; complex I; ... ...	Integral Membrane Protein	19874.73	5 / 5	None
nuoK	NADH:quinone oxidoreductase subunit K; complex I; ... ...	Integral Membrane Protein	10845.08	3 / 3	None
nuoL	 The cellular location of this protein was experimentally confirmed NADH:quinone oxidoreductase subunit L; complex I; ... ...	Integral Membrane Protein	66438.39	18 / 16	54.9%
nuoN	 The cellular location of this protein was experimentally confirmed NADH:quinone oxidoreductase subunit N; complex I; ... ...	Integral Membrane Protein	45650.51	12 / 12	None
sgrR	 The cellular location of this protein was experimentally confirmed Transcriptional activator of small RNA sgrS	Cytoplasmic	63975.36	0 / 0	None
secG	preprotein translocase membrane subunit; member of ... ...	Integral Membrane Protein	11365.21	3 / 2	None
chpB	ChpB toxin; antitoxin is ChpS	Cytoplasmic	12492.45	0 / 0	None
yfiH	Function unknown	Cytoplasmic	26339.04	0 / 0	None
rluD	23S rRNA pseudouridine synthase specific for the p ... ...	Cytoplasmic	37121.75	0 / 0	None
efp	Elongation factor EF-P; essential	Cytoplasmic	20591.37	0 / 0	None
tktB	Transketolase; binds Zn(II)	Cytoplasmic	73042.92	1 / 0	None
feoA	predicted iron transporter component	Cytoplasmic	8370.86	0 / 0	None
feoB	ferrous iron transport protein B; member of ferrou ... ...	Integral Membrane Protein	84474.05	11 / 10	None
gapC	Glyceraldehyde 3-phosphate dehydrogenase C	Cytoplasmic	22702.62	1 / 0	None
yeiR	Function unknown	Cytoplasmic	36113.36	0 / 0	None
yeiE	Probable positive regulator of lysP transcription; ... ...	Cytoplasmic	32723.85	1 / 0	None
hofB	Homologous to PilB of Pseudomonas aeruginosa; func ... ...	Cytoplasmic	50615.52	0 / 0	None
ppdD	Type IV pilin; functional role unknown	Membrane anchored	15621.83	1 / 1	None
norR	Response regulator for norVW transcription; sensor ... ...	Cytoplasmic	58132.56	0 / 0	None
ydcF	Function unknown; low abundance protein	Cytoplasmic	29705.81	0 / 0	None
nlpD	 The cellular location of this protein was experimentally confirmed New lipoprotein may function in cell wall formatio ... ...	Outer membrane Lipoprotein	40149.09	0 / 0	52.7%
alpA	Alp protease; cryptic prophage CP4-57 element; reg ... ...	Cytoplasmic	8132.65	0 / 0	None
hofQ	predicted fimbrial transport protein	Periplasmic	44716.33	0 / 0	68.5%
prfC	Release factor 3	Cytoplasmic	59574.3	0 / 0	None
yjjG	Function unknown	Cytoplasmic	25300.7	0 / 0	None
acrR	Regulatory protein for acrA and acrB	Cytoplasmic	24766.76	0 / 0	None
ychJ	Function unknown	Cytoplasmic	16990.51	0 / 0	None
rssA	Two-component response regulator; affecting RpoS-d ... ...	Cytoplasmic	34355.74	1 / 0	None
rssB	Two-component response regulator; affecting RpoS r ... ...	Cytoplasmic	37302.38	0 / 0	None
sprT	Regulator of bolA gene in stationary phase	Cytoplasmic	19348.55	0 / 0	None
lrhA	Transcriptional repressor of flagellar and motilit ... ...	Cytoplasmic	34593.97	0 / 0	None
hisJ	 The cellular location of this protein was experimentally confirmed histidine/lysine/arginine/ornithine transporter su ... ...	Periplasmic	28483.45	1 / 1	99.4%
hisQ	histidine/lysine/arginine/ornithine transporter su ... ...	Integral Membrane Protein	24649.37	5 / 5	None
kdpF	 The cellular location of this protein was experimentally confirmed potassium ion transporter subunit; accessory prote ... ...	Membrane Anchored	3071.76	1 / 1	None
treB	trehalose(maltose)-specific enzyme IIBC component ... ...	Integral Membrane Protein	51080.98	11 / 10	None
lgt	Phosphatidylglycerol:prolipoprotein diacylglycerol ... ...	Integral Membrane Protein	33108.08	7 / 5	None
uraA	uracil transporter; member of nucleobase:cation sy ... ...	Integral Membrane Protein	45060.31	13 / 12	None
hscA	Hsc66; DnaK-like chaperone; specific for IscU; Hsc ... ...	Cytoplasmic	65652.63	0 / 0	None
hscB	Hsc20; DnaJ-like co-chaperone for HscA; specific f ... ...	Cytoplasmic	20137.77	0 / 0	None
iscA	Iron-sulfur cluster formation function; possibly a ... ...	Cytoplasmic	11556.09	0 / 0	None
ucpA	Short-chain dehydrogenase/reductase homolog	Cytoplasmic	30581.38	0 / 0	None
ybiF	threonine and homoserine efflux system; member of ... ...	Integral Membrane Protein	31168.6	10 / 10	80.5%
ompX	 The cellular location of this protein was experimentally confirmed Outer membrane protein; with role in inducing RNAP ... ...	Outer Membrane ß-barrel protein	18602.67	1 / 1	99.1%
mdtD	multidrug efflux system; member of major facilitat ... ...	Integral Membrane Protein	50901.17	14 / 13	None
cutF	 The cellular location of this protein was experimentally confirmed Copper sensitivity	Outer membrane Lipoprotein	25844.41	0 / 0	61.3%
yaeF	Function unknown	Outer membrane Lipoprotein	32099.11	0 / 0	None
yfhG	Function unknown	Outer membrane Lipoprotein	27347.98	0 / 0	51.4%
ydhB	Function unknown; LysR family of transcriptional r ... ...	Cytoplasmic	35250.19	0 / 0	None
ydhC	predicted transporter; member of major facilitator ... ...	Integral Membrane Protein	43367.6	12 / 12	97.6%
sdaC	 The cellular location of this protein was experimentally confirmed predicted serine transporter; member of hydroxy/ar ... ...	Integral Membrane Protein	46906.57	11 / 11	None
napD	 The cellular location of this protein was experimentally confirmed Unknown function; nap operon	Cytoplasmic	9468.54	0 / 0	None
pgm	Phosphoglucomutase	Cytoplasmic	58361.12	0 / 0	None
yhbJ	Function unknown	Cytoplasmic	32492.41	1 / 0	None
npr	phosphohistidinoprotein-hexose phosphotransferase ... ...	Cytoplasmic	9810.17	0 / 0	None
galP	D-galactose transporter; member of major facilitat ... ...	Integral Membrane Protein	50982.75	12 / 12	87.2%
asr	 The cellular location of this protein was experimentally confirmed Acid shock RNA; expression controlled by phoBR	Periplasmic	11638.58	1 / 0	100%
cobS	Partial cobalamin biosynthesis pathway present in ... ...	Integral Membrane Protein	26385.73	5 / 4	None
cobT	Partial cobalamin biosynthesis pathway present in ... ...	Cytoplasmic	36987.16	2 / 0	None
idnK	D-gluconate kinase	Cytoplasmic	21004.07	0 / 0	None
narU	nitrate/nitrite transporter; member of major facil ... ...	Integral Membrane Protein	49890.37	12 / 12	None
sieB	Homolog to lambda sieB gene in Rac prophage	Integral Membrane Protein	23606.1	2 / 2	None
kil	Responsible for the killing function of the Rac pr ... ...	Cytoplasmic	8920.47	0 / 0	None
ydaE	Function unknown	Cytoplasmic	6583.78	0 / 0	None
ydaF	Function unknown	Cytoplasmic	5768.56	0 / 0	None
rdgC	Nucleoid-associated ssDNA and dsDNA binding protei ... ...	Cytoplasmic	33993.48	0 / 0	None
yaiE	Function unknown	Cytoplasmic	10234.43	0 / 0	None
eaeH	Homologous to attaching and effacing proteins; gen ... ...	Membrane anchored	33175.28	1 / 1	None
gatR	Repressor for gat operon; interrupted by IS3E	Cytoplasmic	73267.57	0 / 0	None
rsmB	16S rRNA m5C967 SAM-dependent methyltransferase	Cytoplasmic	48347.68	0 / 0	None
ytjC	Function unknown; related to fructose-2;6-bisphosp ... ...	Membrane anchored	24065.32	1 / 1	None
mukF	Involved in chromosome partioning; null mutants di ... ...	Cytoplasmic	50579.05	0 / 0	None
ycbC	Function unknown	Integral Membrane Protein	28666.42	2 / 2	42.9%
smtA	Putative methyltransferase; SAM-dependent; non-ess ... ...	Cytoplasmic	29814.37	0 / 0	None
brnQ	predicted branched chain amino acid transporter (L ... ...	Integral Membrane Protein	46208.91	12 / 12	69.4%
ccmD	Cytochrome c maturation protein; stabilizes CcmE i ... ...	Membrane anchored	7745.17	1 / 1	None
yjjI	Function unknown	Cytoplasmic	58020.23	0 / 0	None
ycfF	Function unknown; low abundance protein; member of ... ...	Cytoplasmic	13241.33	0 / 0	None
gspM	general secretory pathway component; cryptic	Membrane anchored	18222.98	1 / 1	None
ydaG	Function unknown	Cytoplasmic	6825.94	0 / 0	None
yjdC	Function unknown	Cytoplasmic	22776.06	0 / 0	None
cutA	Copper sensitivity; possible role in cytochrome c ... ...	Cytoplasmic	12331.13	0 / 0	None
dipZ	 The cellular location of this protein was experimentally confirmed Required for disulfide bond formation in some peri ... ...	Integral Membrane Protein	61795.34	9 / 8	99.7%
cspE	Cold shock protein homolog; high copy promotes or ... ...	Cytoplasmic	7463.47	0 / 0	None
crcA	 The cellular location of this protein was experimentally confirmed Lipid A biosynthesis; transfers a palmitate residu ... ...	Outer Membrane ß-barrel protein	21769.63	1 / 0	67.7%
ydhD	Function unknown; putative glutaredoxin with CxxS ... ...	Cytoplasmic	12878.81	0 / 0	None
yajG	 The cellular location of this protein was experimentally confirmed Function unknown	Outer membrane Lipoprotein	24958.66	1 / 0	99.6%
ampG	muropeptide transporter; member of major facilitat ... ...	Integral Membrane Protein	53245.42	14 / 14	78.7%
nudF	ADP-sugar pyrophosphatase; sole ADP-glucose hydrol ... ...	Cytoplasmic	23666.87	0 / 0	None
yqiB	Function unknown	Cytoplasmic	16548.14	0 / 0	None
yqiA	Function unknown	Cytoplasmic	21641.58	1 / 0	None
cpdA	3;5 cAMP phosphodiesterase; mutants have elevated ... ...	Cytoplasmic	30938.08	0 / 0	None
ptsP	PEP-protein phosphotransferase of PTS system (enzy ... ...	Cytoplasmic	83715.94	0 / 0	None
hemF	Coproporphyrinogen III oxidase	Cytoplasmic	34322.74	0 / 0	None
eutR	Positive regulator of eut operon; AraC family; Sal ... ...	Cytoplasmic	40159.93	0 / 0	None
glnK	 The cellular location of this protein was experimentally confirmed Regulated through NRI/NRII two-component regulator ... ...	Cytoplasmic	12259.24	0 / 0	None
nadK	ATP-NAD kinase; polyphosphates do not serve as P d ... ...	Cytoplasmic	32566.5	0 / 0	None
cbpA	Recognizes a curved DNA sequence; sequence similar ... ...	Cytoplasmic	34455.08	0 / 0	None
yccD	Function unknown	Cytoplasmic	11512.27	0 / 0	None
torD	Transcribed with tor; no similarity with other pro ... ...	Cytoplasmic	22573.81	0 / 0	None
yccE	Function unknown	Cytoplasmic	48355.56	0 / 0	None
seqA	Sequesters newly replicated hemimethylated oriC or ... ...	Cytoplasmic	20315.52	1 / 0	None
chbG	Member of chb operon; function unknown	Cytoplasmic	27773.83	0 / 0	None
yegD	DnaK homolog; function unknown	Cytoplasmic	51918.48	1 / 0	None
ygaC	Function unknown; Fur regulon	Cytoplasmic	13065.8	0 / 0	None
treR	Repressor	Cytoplasmic	34530.86	0 / 0	None
cspB	Cold shock protein homolog; cold-inducible	Cytoplasmic	7716.75	0 / 0	None
cspC	Cold shock protein homolog; multicopy suppresses m ... ...	Cytoplasmic	7402.38	0 / 0	None
cspF	Cold shock protein homolog	Cytoplasmic	7562.74	0 / 0	None
rrmA	23S rRNA m1G745 SAM-dependent methyltransferase Rr ... ...	Cytoplasmic	30419.03	0 / 0	None
crcB	 The cellular location of this protein was experimentally confirmed High-copy crc-csp restores normal chromosome conde ... ...	Integral Membrane Protein	13777.36	4 / 4	53.7%
rfaF	ADP-heptose:LPS heptosyltransferase II	Cytoplasmic	39042.29	1 / 0	None
yhhK	Function unknown	Cytoplasmic	14505.59	0 / 0	None
yhhL	Function unknown	Integral Membrane Protein	10251.76	3 / 2	None
yhhM	Function unknown	Membrane anchored	13496.54	1 / 1	61%
yhhN	Function unknown	Integral Membrane Protein	23790.69	8 / 6	None
zntA	zinc; cobalt and lead efflux system; member of P-t ... ...	Integral Membrane Protein	76840.12	7 / 5	None
sirA	Small protein required for cell growth; affects Rp ... ...	Cytoplasmic	9094.6	0 / 0	None
yhhQ	Function unknown; predicted membrane protein; 6 TM ... ...	Integral Membrane Protein	25269.04	6 / 6	None
dcrB	Resistant to lytic phage C1; periplasmic protein p ... ...	Inner membrane lipoprotein	22131.43	0 / 0	None
yhhS	predicted transporter; member of major facilitator ... ...	Integral Membrane Protein	43783.95	12 / 12	None
yhhT	predicted membrane protein	Integral Membrane Protein	41370.68	7 / 8	None
acpT	CoA-phosphopantetheinyltransferase; native apo-pro ... ...	Cytoplasmic	21767.87	0 / 0	None
rbbA	Ribosome-associated ATPase homologous to EF-3; req ... ...	Cytoplasmic	100785.26	6 / 5	None
yhiI	Function unknown; putative membrane fusion protein ... ...	Membrane anchored	38828.51	1 / 1	38%
yhiJ	Function unknown	Cytoplasmic	61164.63	0 / 0	None
yhiK	Function unknown	Cytoplasmic	14247.07	0 / 0	None
yhiM	function unknown	Integral Membrane Protein	41518.03	10 / 10	31.1%
yhiN	Function unknown	Cytoplasmic	43741.23	1 / 1	95.4%
pitA	 The cellular location of this protein was experimentally confirmed phosphate transporter; member of inorganic phospha ... ...	Integral Membrane Protein	53389.27	10 / 10	None
uspB	Sigma S-regulated gene divergent from uspA; ethano ... ...	Integral Membrane Protein	13027.46	3 / 2	None
dtpB	Peptide transporter; member of proton-dependent ol ... ...	Integral Membrane Protein	53575.46	14 / 14	None
yhiQ	Function unknown; in Salmonella; yhiQ is the secon ... ...	Cytoplasmic	26949.28	0 / 0	None
yhiR	Required for utilization of DNA as a sole source o ... ...	Cytoplasmic	31941.79	0 / 0	None
arsR	Resistance to arsenate; arsenite; and antimonite	Cytoplasmic	13252.62	0 / 0	None
arsB	 The cellular location of this protein was experimentally confirmed arsenite/antimonite transporter; member of arsenit ... ...	Integral Membrane Protein	46263.54	13 / 11	None
arsC	Resistance to arsenate; arsenite; and antimonite	Cytoplasmic	15853.37	0 / 0	None
yhiS	Function unknown; interrupted by IS5T	Cytoplasmic	29450.18	0 / 0	None
mdtE	MdtEF-TolC multidrug resistance efflux transporter ... ...	Inner membrane lipoprotein	41190.67	0 / 0	91.1%
mdtF	predicted transporter; member of resistance-nodula ... ...	Integral Membrane Protein	111517.6	12 / 11	None
gadW	Positive AraC-type regulator of gadA and gadBC; in ... ...	Cytoplasmic	28028.57	0 / 0	None
gadX	Positive AraC-type regulator of gadA and gadBC; re ... ...	Cytoplasmic	31562.65	0 / 0	None
yhjA	Function unknown	Membrane anchored	51570.71	1 / 1	None
treF	 The cellular location of this protein was experimentally confirmed Cytoplasmic trehalase	Cytoplasmic	63696.91	0 / 0	None
yhjB	Function unknown	Cytoplasmic	22604.32	1 / 0	None
yhjC	Function unknown	Cytoplasmic	36093.97	0 / 0	None
yhjD	Function unknown	Integral Membrane Protein	37911.58	6 / 6	None
yhjE	predicted transporter; member of major facilitator ... ...	Integral Membrane Protein	47208.2	12 / 11	None
yhjG	Function unknown	Membrane anchored	75130.55	2 / 1	58.9%
yhjH	Suppresses motility defect of hns mutants in multi ... ...	Cytoplasmic	29732.56	0 / 0	None
kdgK	Ketodeoxygluconokinase	Cytoplasmic	42482.26	0 / 0	None
yhjJ	 The cellular location of this protein was experimentally confirmed Function unknown	Periplasmic	55527.55	1 / 0	99.7%
yhjK	Function unknown; expressed protein	Integral Membrane Protein	73081.0	2 / 2	None
bcsC	Oxidase involved in cellulose synthesis	Periplasmic	125817.9	0 / 0	99.7%
bcsZ	 The cellular location of this protein was experimentally confirmed Endo-1;4-D-glucanase; breaks down carboxymethylcel ... ...	Periplasmic	41700.41	1 / 0	95.9%
bcsB	Cellulose synthase; regulatory subunit; may bind c ... ...	Integral Membrane Protein	86023.99	2 / 2	99.8%
bcsA	Celullose synthase; catalytic subunit; inner membr ... ...	Integral Membrane Protein	101598.07	8 / 10	None
yhjQ	Function unknown; minD superfamily; putative in-fr ... ...	Cytoplasmic	27139.99	0 / 0	None
yhjR	Function unknown	Cytoplasmic	7017.95	0 / 0	None
bcsE	Putative protease required for cellulose productio ... ...	Cytoplasmic	59428.36	0 / 0	None
bcsF	Small membrane protein in an operon required for c ... ...	Membrane anchored	7232.78	1 / 1	None
bcsG	Putative endoglucanase in operon required for cell ... ...	Integral Membrane Protein	62032.17	4 / 4	None
yhjV	 The cellular location of this protein was experimentally confirmed predicted transporter; member of hydroxy/aromatic ... ...	Integral Membrane Protein	47257.74	11 / 11	None
eptB	 The cellular location of this protein was experimentally confirmed A phosphoethanolamine transferase specific for the ... ...	Integral Membrane Protein	64939.09	5 / 5	50%
yhjX	predicted transporter; member of major facilitator ... ...	Integral Membrane Protein	42951.01	12 / 12	54.9%
yhjY	Function unknown; Salmonella ortholog regulated by ... ...	Periplasmic	26195.17	1 / 1	95.8%
yiaC	Putative acetyltransferase	Cytoplasmic	17103.9	0 / 0	None
yiaD	 The cellular location of this protein was experimentally confirmed Function unknown	Outer membrane Lipoprotein	22197.29	3 / 3	79%
ghrB	Glyoxylate/hydroxypyruvate reductase; 2-ketoglucon ... ...	Cytoplasmic	35899.22	0 / 0	None
yiaF	Function unknown	Membrane Lipoprotein	30158.73	1 / 1	None
yiaH	 The cellular location of this protein was experimentally confirmed Function unknown	Integral Membrane Protein	37570.03	10 / 10	None
xylG	D-xylose transporter subunit; ATP-binding componen ... ...	Cytoplasmic	56470.62	0 / 0	None
xylH	D-xylose transporter subunit; membrane component; ... ...	Integral Membrane Protein	41031.04	10 / 10	None
yiaJ	Transcriptional repressor of yiaK-S operon involve ... ...	Cytoplasmic	31066.78	0 / 0	None
yiaK	L-dehydroascorbate (2;3-diketo-L-gulonate) reducta ... ...	Cytoplasmic	36572.89	0 / 0	None
yiaL	Putative glycosyl hydrolase beta subunit; in opero ... ...	Cytoplasmic	17549.21	0 / 0	None
yiaM	predicted transporter; member of tripartite ATP-in ... ...	Integral Membrane Protein	17515.95	4 / 4	None
yiaN	Putative membrane permease; possibly involved in t ... ...	Integral Membrane Protein	45368.4	11 / 11	52.4%
yiaO	predicted transporter; member of tripartite ATP-in ... ...	Periplasmic	35970.19	1 / 0	99%
lyxK	L-xylulose kinase; novel pathway for utilization o ... ...	Cytoplasmic	55155.07	0 / 0	None
sgbH	3-keto-L-gulonate-6-phosphate decarboxylase; possi ... ...	Cytoplasmic	23444.85	1 / 0	None
sgbU	Predicted L-xylulose 5-phosphate 3-epimerase; poss ... ...	Cytoplasmic	33668.72	0 / 0	None
sgbE	L-ribulose 5-phosphate 4-epimerase; possibly invol ... ...	Cytoplasmic	25560.95	0 / 0	None
yiaT	Function unknown	Outer Membrane ß-barrel protein	27413.62	1 / 0	98.1%
yiaU	Function unknown	Cytoplasmic	37274.59	3 / 0	None
yiaV	Function unknown; putative membrane fusion protein ... ...	Integral Membrane Protein	41771.28	2 / 2	None
yiaW	Function unknown	Integral Membrane Protein	12408.64	2 / 2	None
aldB	Aldehyde dehydrogenase	Cytoplasmic	59695.51	0 / 0	None
yiaY	Function unknown	Cytoplasmic	40351.54	0 / 0	None
grxC	Glutaredoxin 3	Cytoplasmic	9137.54	0 / 0	None
yibN	Function unknown	Membrane anchored	15596.3	1 / 1	None
gpmM	Phosphoglycerate mutase; Mn-dependent; non-essenti ... ...	Cytoplasmic	56194.09	0 / 0	None
envC	 The cellular location of this protein was experimentally confirmed Membrane-bound cytoplasmic protease; needed for Ft ... ...	Inner Membrane Lipoprotein	47466.82	1 / 1	100%
yibQ	Function unknown	Periplasmic	30729.46	1 / 1	99.8%
ycdC	Function unknown	Cytoplasmic	23687.7	0 / 0	None
tmk	Deoxythymidine kinase	Cytoplasmic	23783.21	0 / 0	None
ycfH	Function unknown; tatD paralog; no Tat phenotype	Cytoplasmic	29808.87	1 / 0	None
sapD	predicted antimicrobial peptide transporter subuni ... ...	Cytoplasmic	37660.87	0 / 0	None
sapF	predicted antimicrobial peptide transporter subuni ... ...	Cytoplasmic	30570.65	0 / 0	None
yccF	Function unknown	Integral Membrane Protein	16275.42	3 / 3	None
mgsA	Methylglyoxal synthase	Cytoplasmic	17326.18	0 / 0	None
yfhH	Function unknown	Cytoplasmic	33654.1	1 / 0	None
lasT	Function unknown; putative methyltransferase	Cytoplasmic	25259.14	0 / 0	None
pepB	Peptidase B; broad specificity aminopeptidase	Cytoplasmic	49400.14	0 / 0	None
iscX	Function unknown; downstream of fdx; isc genes; bi ... ...	Cytoplasmic	7731.6	0 / 0	None
coaE	Dephospho-CoA kinase; essential for growth as test ... ...	Cytoplasmic	22621.77	0 / 0	27.2%
yacF	Function unknown; non-essential for growth as test ... ...	Cytoplasmic	28291.73	0 / 0	None
yacG	Function unknown; Zn(2+)-binding protein; non-esse ... ...	Cytoplasmic	7306.2	0 / 0	None
yacH	Function unknown	Periplasmic	69362.15	1 / 0	42.8%
acnB	 The cellular location of this protein was experimentally confirmed Aconitase B; apo-enzyme binds mRNA for negative tr ... ...	Cytoplasmic	93498.44	0 / 0	None
cueO	 The cellular location of this protein was experimentally confirmed Multicopper oxidase (laccase)	Periplasmic	56556.43	1 / 0	100%
yadF	Function unknown; low abundance protein	Cytoplasmic	25096.86	0 / 0	None
yadG	predicted transporter subunit; ATP-binding compone ... ...	Cytoplasmic	34647.18	0 / 0	None
yadH	predicted transporter subunit; membrane component; ... ...	Integral Membrane Protein	28516.28	6 / 6	None
yadI	predicted PTS Enzyme IIA	Cytoplasmic	16540.15	0 / 0	None
yfaD	Function unknown	Cytoplasmic	34922.97	0 / 0	None
yadK	Function unknown	Periplasmic	21112.11	1 / 1	96.5%
yadL	Function unknown	Periplasmic	21047.02	1 / 1	99.8%
yadM	Function unknown	Periplasmic	22008.02	1 / 0	100%
yadN	Function unknown	Periplasmic	20117.69	1 / 0	98.8%
hrpB	RNA helicase-like; similarity to eukaryotic DEAH f ... ...	Cytoplasmic	90818.08	0 / 0	None
ligT	2-5 RNA ligase	Cytoplasmic	20299.44	0 / 0	None
clcA	chloride channel; voltage-gated; member of chlorid ... ...	Integral Membrane Protein	50348.94	11 / 11	48.5%
yadR	Function unknown; iscA paralog; possibly involved ... ...	Cytoplasmic	12100.54	0 / 0	None
yadS	Function unknown	Integral Membrane Protein	22127.78	7 / 7	None
btuF	 The cellular location of this protein was experimentally confirmed vitamin B12 transporter subunit; periplasmic-bindi ... ...	Periplasmic	29366.91	1 / 0	96.3%
cdaR	Transcriptional regulator for gar and gud operons	Cytoplasmic	44297.22	0 / 0	None
yaeH	Function unknown	Cytoplasmic	15096.2	0 / 0	None
yaeI	Function unknown	Membrane anchored	27375.65	3 / 0	None
yagA	Function unknown	Cytoplasmic	43768.8	0 / 0	None
yagB	Function unknown	Cytoplasmic	14334.49	0 / 0	None
