Gene,UniProt,NAME,Description,Structure_ID,PDB,Structure_source,MW,MOLARITY,Copy_number,Localization,Localization_source,INCLUDE,COLOR,NOTES,model_id
b1705,P0ACX9,ydiE,Uncharacterized protein YdiE,REP-4ynx,4ynx-A_clean.pdb,Protein Data Bank,7117.068,5.34E-09,9,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1706,P77649,ydiU,UPF0061 protein YdiU,REP-E01612,E01612_clean-X_clean.pdb,metaTASSER,54381.4131,2.37E-09,4,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1707,P76204,ydiV,Putative anti-FlhC(2)FlhD(4) factor YdiV,REP-3tlq,3tlq-A_clean.pdb,Protein Data Bank,27045.8956,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1708,P23898,nlpC,Probable endopeptidase NlpC,REP-E01614,E01614_clean-X_clean.pdb,metaTASSER,17282.5356,,,Outer_Membrane,EchoLOCATION experimental,,,,iML1515_v1
b1709,P06611,btuD,Vitamin B12 import ATP-binding protein BtuD,REP-2qi9,2qi9-C_clean.pdb,Protein Data Bank,27080.8734,,,Cytosol,iJL1678,,,,iML1515_v1
b1710,P06610,btuE,Thioredoxin/glutathione peroxidase BtuE,REP-3_182_1gp1.1.A_59cb62d9c730d46b1737927f,b1710_3_182_1gp1_clean.pdb,SWISS-MODEL,20469.3199,1.98E-07,333,Cytosol,iJL1678,x,,,iML1515_v1
b1711,P06609,btuC,Vitamin B12 import system permease protein BtuC,REP-2qi9,2qi9-A_clean.pdb,Protein Data Bank,34948.8956,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b1712,P0A6X7,ihfA,Integration host factor subunit alpha,REP-1owf,1owf-A_clean.pdb,Protein Data Bank,11353.7907,2.06E-06,3470,Cytosol,Heinemann 2016,x,,,iML1515_v1
b1713,P07395,pheT,Phenylalanine--tRNA ligase beta subunit,REP-3pco,3pco-B_clean.pdb,Protein Data Bank,87377.0775,1.19E-06,1998,Cytosol,iJL1678,x,,,iML1515_v1
b1714,P08312,pheS,Phenylalanine--tRNA ligase alpha subunit,REP-E01620,E01620_clean-X_clean.pdb,metaTASSER,36831.3634,1.33E-06,2244,Cytosol,iJL1678,x,,,iML1515_v1
b1715,P0AD74,pheM,Phenylalanine--tRNA ligase operon leader peptide,REP-LPF2_ECOLI,LPF2_ECOLI_model1_clean-X_clean.pdb,I-TASSER,1762.0364,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1716,P0A7L3,rplT,50S ribosomal protein L20,REP-5afi,5afi-Q_clean.pdb,Protein Data Bank,13496.7772,1.51E-06,2543,Cytosol,iJL1678,x,,,iML1515_v1
b1717,P0A7Q1,rpmI,50S ribosomal protein L35,REP-5afi,5afi-3_clean.pdb,Protein Data Bank,7288.8476,,,Cytosol,iJL1678,,,,iML1515_v1
b1718,P0A707,infC,Translation initiation factor IF-3,REP-12_179_5lmn.1.W_59cb906a1405501ac6a7f24e,b1718_12_179_5lmn_clean.pdb,SWISS-MODEL,20563.6859,6.43E-06,10839,Cytosol,iJL1678,x,,,iML1515_v1
b1719,P0A8M3,thrS,Threonine--tRNA ligase,REP-1qf6,1qf6-A_clean.pdb,Protein Data Bank,74013.4825,4.82E-07,812,Cytosol,iJL1678,x,,,iML1515_v1
b1722,P76206,ydiY,Uncharacterized protein YdiY,REP-E01627,E01627_clean-X_clean.pdb,metaTASSER,27606.9402,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b1723,P06999,pfkB,ATP-dependent 6-phosphofructokinase isozyme 2,REP-3umo,3umo-A_clean.pdb,Protein Data Bank,32455.6075,5.81E-08,98,Cytosol,iJL1678,x,,,iML1515_v1
b1724,P64479,ydiZ,Uncharacterized protein YdiZ,REP-E01629,E01629_clean-X_clean.pdb,metaTASSER,10864.8614,7.00E-08,118,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1725,P77739,yniA,Putative kinase YniA,REP-1_284_3jr1.1.A_59c9dab8ad01f074fbaf2256,b1725_1_284_3jr1_clean.pdb,SWISS-MODEL,32458.2073,2.37E-09,4,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1726,P76208,yniB,Uncharacterized protein YniB,REP-E01631,E01631_clean-X_clean.pdb,metaTASSER,20366.8623,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1727,P77247,hxpB,Hexitol phosphatase B,REP-1te2,1te2-A_clean.pdb,Protein Data Bank,24329.9677,2.33E-07,393,Cytosol,Arbitrary assignment,x,,,iML1515_v1
b1728,P64481,ydjM,Inner membrane protein YdjM,REP-E01633,E01633_clean-X_clean.pdb,metaTASSER,22350.2217,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1729,P77529,ydjN,L-cystine transporter YdjN,REP-23_454_5dwy.1.A_59ca000ea52be71c5fa97a10,b1729_23_454_5dwy_clean.pdb,SWISS-MODEL,48661.0835,,896,Outer_Membrane,Heinemann 2016,,,,iML1515_v1
b1730,P76210,ydjO,Uncharacterized protein YdjO,REP-E01635,E01635_clean-X_clean.pdb,metaTASSER,30159.3737,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1731,P0AE60,cedA,Cell division activator CedA,REP-2bn8,2bn8-A_clean.pdb,Protein Data Bank,9376.7007,4.27E-08,72,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1732,P21179,katE,Catalase HPII,REP-3ttv,3ttv-A_clean.pdb,Protein Data Bank,84161.5419,7.83E-08,132,Cytosol,iJL1678,x,,,iML1515_v1
b1733,P37794,chbG,Chitooligosaccharide deacetylase ChbG,REP-3_249_2i5i.1.A_59dcd01678ed5850569c9046,b1733_3_249_2i5i_clean.pdb,SWISS-MODEL,27773.3994,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1734,P17411,chbF,6-phospho-beta-glucosidase,REP-5_439_5c3m.1.A_59c9dc28ad01f0b421065188,b1734_5_439_5c3m_clean.pdb,SWISS-MODEL,50511.9105,,,Cytosol,iJL1678,,,,iML1515_v1
b1735,P17410,chbR,HTH-type transcriptional regulator ChbR,REP-22_277_5suw.1.A_59c9f1e27f4bf96a3a0dbd26,b1735_22_277_5suw_clean.pdb,SWISS-MODEL,32967.2,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1736,P69791,chbA,"PTS system N,N'-diacetylchitobiose-specific EIIA component",REP-14_116_2wy2.1.A_59cc550eb4c268fb3732014f,b1736_14_116_2wy2_clean.pdb,SWISS-MODEL,12747.6396,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1737,P17334,chbC,"PTS system N,N'-diacetylchitobiose-specific EIIC component",REP-6_440_3qnq.1.A_59c9da1aad01f04c4090d31e,b1737_6_440_3qnq_clean.pdb,SWISS-MODEL,48331.6205,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1738,P69795,chbB,"PTS system N,N'-diacetylchitobiose-specific EIIB component",REP-1iib,1iib-A_clean.pdb,Protein Data Bank,11426.4123,1.18E-07,199,Cytosol,Heinemann 2016,x,,,iML1515_v1
b1739,P0ADB1,osmE,Osmotically-inducible putative lipoprotein OsmE,REP-27_111_4dm5.1.A_59cc67f4afa358453674a1d0,b1739_27_111_4dm5_clean.pdb,SWISS-MODEL,12020.5497,,1127,Outer_Membrane,Heinemann 2016,,,,iML1515_v1
b1740,P18843,nadE,NH(3)-dependent NAD(+) synthetase,REP-1wxi,1wxi-A_clean.pdb,Protein Data Bank,30636.4576,2.08E-06,3500,Cytosol,iJL1678,x,,,iML1515_v1
b1741,P76213,cho,Excinuclease cho,REP-E01646,E01646_clean-X_clean.pdb,metaTASSER,33738.5065,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1742,P76214,ves,Protein Ves,REP-1_182_5fcc.1.A_59cc2bf4a52be7a83e08f098,b1742_1_182_5fcc_clean.pdb,SWISS-MODEL,21576.6208,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1743,P77754,spy,Periplasmic chaperone Spy,REP-45_150_3zg1.1.B_59cbc8c17aaa0d76a0877e4c,b1743_45_150_3zg1_clean.pdb,SWISS-MODEL,18198.8937,1.07E-06,238,Periplasm,Heinemann 2016,,,,iML1515_v1
b1744,P76215,astE,Succinylglutamate desuccinylase,REP-1yw6,1yw6-A_clean.pdb,Protein Data Bank,35799.751,,,Cytosol,iJL1678,,,,iML1515_v1
b1745,P76216,astB,N-succinylarginine dihydrolase,REP-1ynf,1ynf-A_clean.pdb,Protein Data Bank,49297.965,,,Cytosol,iJL1678,,,,iML1515_v1
b1746,P76217,astD,N-succinylglutamate 5-semialdehyde dehydrogenase,REP-2_486_5u0l.1.A_59ca34aec730d42a9e5e760a,b1746_2_486_5u0l_clean.pdb,SWISS-MODEL,53025.6779,,,Cytosol,iJL1678,,,,iML1515_v1
b1747,P0AE37,astA,Arginine N-succinyltransferase,REP-2_337_1yle.1.A_59f22503ad01f07c18357bee,b1747_2_337_1yle_clean.pdb,SWISS-MODEL,38455.4236,,,Cytosol,iJL1678,,,,iML1515_v1
b1748,P77581,astC,Succinylornithine transaminase,REP-4adb,4adb-A_clean.pdb,Protein Data Bank,43664.8446,9.49E-09,16,Cytosol,iJL1678,x,,,iML1515_v1
b1749,P09030,xthA,Exodeoxyribonuclease III,REP-1ako,1ako-A_clean.pdb,Protein Data Bank,30968.8013,3.42E-07,577,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1750,P76219,ydjX,TVP38/TMEM64 family membrane protein YdjX,REP-E01655,E01655_clean-X_clean.pdb,metaTASSER,26057.7858,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1751,P76220,ydjY,Uncharacterized protein YdjY,REP-E01656,E01656_clean-X_clean.pdb,metaTASSER,24125.0134,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1752,P76221,ydjZ,TVP38/TMEM64 family inner membrane protein YdjZ,REP-E01657,E01657_clean-X_clean.pdb,metaTASSER,26160.021,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1753,P76222,ynjA,Uncharacterized protein YnjA,REP-3_172_2oyo.1.A_59cb67f1c730d484c4666cc2,b1753_3_172_2oyo_clean.pdb,SWISS-MODEL,20532.7189,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1754,P76223,ynjB,Protein YnjB,REP-24_387_5t1p.5.A_59f253a2f4763de483b42bb7,b1754_24_387_5t1p_clean.pdb,SWISS-MODEL,42844.0125,3.15E-08,7,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b1755,P76224,ynjC,Inner membrane ABC transporter permease protein YnjC,REP-E01660,E01660_clean-X_clean.pdb,metaTASSER,56242.2485,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1756,P76909,ynjD,Uncharacterized ABC transporter ATP-binding protein YnjD,REP-2_210_4tqu.1.C_59cacfb3573f204affcb794d,b1756_2_210_4tqu_clean.pdb,SWISS-MODEL,24016.3358,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1757,P78067,ynjE,Thiosulfate sulfurtransferase YnjE,REP-2wlr,2wlr-A_clean.pdb,Protein Data Bank,48227.9884,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b1758,P76226,ynjF,Inner membrane protein YnjF,REP-E01663,E01663_clean-X_clean.pdb,metaTASSER,22751.548,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1759,P77788,nudG,CTP pyrophosphohydrolase,REP-2rrk,2rrk-A_clean.pdb,Protein Data Bank,15045.9347,,,Cytosol,iJL1678,,,,iML1515_v1
b1760,P76227,ynjH,Uncharacterized protein YnjH,REP-E01665,E01665_clean-X_clean.pdb,metaTASSER,9947.308,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b1761,P00370,gdhA,NADP-specific glutamate dehydrogenase,REP-4bht,4bht-A_clean.pdb,Protein Data Bank,48580.831,3.58E-06,6032,Cytosol,iJL1678,x,,,iML1515_v1
b1762,P76228,ynjI,Inner membrane protein YnjI,REP-E01667,E01667_clean-X_clean.pdb,metaTASSER,40345.7839,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1763,P14294,topB,DNA topoisomerase 3,REP-1i7d,1i7d-A_clean.pdb,Protein Data Bank,73215.9514,0,0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1764,P16456,selD,"Selenide, water dikinase",REP-3u0o,3u0o-A_clean.pdb,Protein Data Bank,36686.8601,4.15E-07,699,Cytosol,iJL1678,x,,,iML1515_v1
b1765,P0ACY1,ydjA,Putative NAD(P)H nitroreductase YdjA,REP-3bm1,3bm1-A_clean.pdb,Protein Data Bank,20058.7877,1.24E-06,2091,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1766,P08395,sppA,Protease 4,REP-SPPA_ECOLI,SPPA_ECOLI_model1_clean-X_clean.pdb,I-TASSER,67218.5157,2.55749E-05,16,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1
b1767,P0A962,ansA,L-asparaginase 1,REP-2p2d,2p2d-A_clean.pdb,Protein Data Bank,37126.8016,2.12E-07,358,Cytosol,iJL1678,x,,,iML1515_v1
b1768,P21369,pncA,Nicotinamidase,REP-2_211_2wta.1.A_59cae070afa3581d29e28ef9,b1768_2_211_2wta_clean.pdb,SWISS-MODEL,23361.7852,2.25E-08,38,Cytosol,iJL1678,x,,,iML1515_v1
b1769,P38055,ydjE,Inner membrane metabolite transport protein YdjE,REP-E01674,E01674_clean-X_clean.pdb,metaTASSER,50317.3437,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1770,P77721,ydjF,Uncharacterized HTH-type transcriptional regulator YdjF,REP-18_249_3h5t.1.A_59ca40d6140550807234b56b,b1770_18_249_3h5t_clean.pdb,SWISS-MODEL,28261.1414,5.93E-09,10,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1771,P77256,ydjG,Uncharacterized oxidoreductase YdjG,REP-1_323_1pz1.1.A_59f260b5e6291d7c5fe9f70b,b1771_1_323_1pz1_clean.pdb,SWISS-MODEL,36328.4085,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b1772,P77493,ydjH,Uncharacterized sugar kinase YdjH,REP-3h49,3h49-A_clean.pdb,Protein Data Bank,34120.8798,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1773,P77704,ydjI,Uncharacterized protein YdjI,REP-2_277_3q94.1.A_59c9f40b7f4bf919ba6afaca,b1773_2_277_3q94_clean.pdb,SWISS-MODEL,30809.441,,,Cytosol,iJL1678,,,,iML1515_v1
b1774,P77280,ydjJ,Uncharacterized zinc-type alcohol dehydrogenase-like protein YdjJ,REP-5vm2,5vm2-A_clean.pdb,Protein Data Bank,37700.3741,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1775,P76230,ydjK,Putative metabolite transport protein YdjK,REP-E01680,E01680_clean-X_clean.pdb,metaTASSER,49601.3751,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1776,P77539,ydjL,Uncharacterized zinc-type alcohol dehydrogenase-like protein YdjL,REP-1_354_5kia.1.A_59f1ead93d4e1db50dd32069,b1776_1_354_5kia_clean.pdb,SWISS-MODEL,38731.3152,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1777,P76231,yeaC,Uncharacterized protein YeaC,REP-E01682,E01682_clean-X_clean.pdb,metaTASSER,10337.9089,4.63E-08,78,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1778,P0A746,msrB,Peptide methionine sulfoxide reductase MsrB,REP-3_131_2k8d.1.A_59cc1ce1e6291d519642b2da,b1778_3_131_2k8d_clean.pdb,SWISS-MODEL,15451.0166,3.77E-07,636,Cytosol,iJL1678,x,,,iML1515_v1
b1779,P0A9B2,gapA,Glyceraldehyde-3-phosphate dehydrogenase A,REP-1s7c,1s7c-A_clean.pdb,Protein Data Bank,35532.0683,2.55E-05,43005,Cytosol,iJL1678,x,,,iML1515_v1
b1780,P39173,yeaD,Putative glucose-6-phosphate 1-epimerase,REP-2htb,2htb-A_clean.pdb,Protein Data Bank,32665.6839,1.46E-06,2454,Cytosol,EchoLOCATION experimental,x,,,iML1515_v1
b1781,P76234,yeaE,Uncharacterized protein YeaE,REP-2_284_4wgh.1.A_59c9e7a7c730d43ddf423d96,b1781_2_284_4wgh_clean.pdb,SWISS-MODEL,30986.2602,,,Cytosol,iJL1678,,,,iML1515_v1
b1782,P0A908,mipA,MltA-interacting protein,REP-E01687,E01687_clean-X_clean.pdb,metaTASSER,27830.6329,,2791,Outer_Membrane,Heinemann 2016,,,,iML1515_v1
b1783,P0ACY3,yeaG,Uncharacterized protein YeaG,REP-YEAG_ECOLI,YEAG_ECOLI_model1_clean-X_clean.pdb,I-TASSER,74479.4205,3.44E-08,58,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1784,P76235,yeaH,UPF0229 protein YeaH,REP-E01689,E01689_clean-X_clean.pdb,metaTASSER,49391.8392,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1785,P76236,yeaI,Inner membrane protein YeaI,REP-E01690,E01690_clean-X_clean.pdb,metaTASSER,56100.7542,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1786,P76237,yeaJ,Putative diguanylate cyclase YeaJ,REP-E01691,E01691_clean-X_clean.pdb,metaTASSER,56601.8743,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1787,P64483,yeaK,Uncharacterized protein YeaK,REP-8_165_1vjf.1.A_59cb8eba1405508b0a0b4ab2,b1787_8_165_1vjf_clean.pdb,SWISS-MODEL,17850.4312,2.43E-07,409,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1788,P76239,yoaI,Uncharacterized protein YoaI,REP-E01693,E01693_clean-X_clean.pdb,metaTASSER,3771.4857,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b1789,P0ACY6,yeaL,UPF0756 membrane protein YeaL,REP-E01694,E01694_clean-X_clean.pdb,metaTASSER,15255.3822,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1790,P76241,nimR,HTH-type transcriptional regulator NimR,REP-E01695,E01695_clean-X_clean.pdb,metaTASSER,30553.1986,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b1791,P76242,nimT,2-nitroimidazole transporter,REP-E01696,E01696_clean-X_clean.pdb,metaTASSER,41207.7634,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b1792,P76243,yeaO,Uncharacterized protein YeaO,REP-E01697,E01697_clean-X_clean.pdb,metaTASSER,13386.0429,6.17E-08,104,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1793,P64493,yoaF,Uncharacterized protein YoaF,REP-E01698,E01698_clean-X_clean.pdb,metaTASSER,8942.2877,,,Outer_Membrane,EchoLOCATION experimental,,,,iML1515_v1
b1794,P76245,yeaP,Probable diguanylate cyclase YeaP,REP-7_335_4zmu.1.A_59f247fbeb80f78b70e23577,b1794_7_335_4zmu_clean.pdb,SWISS-MODEL,38545.1588,5.93E-09,10,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1795,P64485,yeaQ,UPF0410 protein YeaQ,REP-E01702,E01702_clean-X_clean.pdb,metaTASSER,8670.4685,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1796,P64496,yoaG,Protein YoaG,REP-1nei,1nei-A_clean.pdb,Protein Data Bank,6608.2213,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1797,P64488,yeaR,Uncharacterized protein YeaR,REP-3bb6,3bb6-A_clean.pdb,Protein Data Bank,13611.2895,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1798,P76249,leuE,Leucine efflux protein,REP-E01705,E01705_clean-X_clean.pdb,metaTASSER,23200.3549,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b1799,P76250,dmlR,HTH-type transcriptional regulator DmlR,REP-5_296_3hhg.1.B_59f2c2daa52be7283b76b2cc,b1799_5_296_3hhg_clean.pdb,SWISS-MODEL,34630.4658,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b1800,P76251,dmlA,D-malate dehydrogenase [decarboxylating],REP-4_361_3fmx.1.D_59f1f2b47aaa0d1f6ca6acb3,b1800_4_361_3fmx_clean.pdb,SWISS-MODEL,40314.4676,,,Cytosol,iJL1678,,,,iML1515_v1
b1801,P0ABD1,yeaV,Uncharacterized transporter YeaV,REP-2_445_4m8j.1.A_59ca253dc730d4856d8d507f,b1801_2_445_4m8j_clean.pdb,SWISS-MODEL,52880.5195,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b1802,P0ABR7,yeaW,Putative dioxygenase subunit alpha YeaW,REP-17_373_2b1x.1.A_59f22eb33d4e1de887a81d91,b1802_17_373_2b1x_clean.pdb,SWISS-MODEL,42560.32,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1803,P76254,yeaX,Putative dioxygenase subunit beta YeaX,REP-6_321_2pia.1.A_59f27323e6291da857a0c73d,b1803_6_321_2pia_clean.pdb,SWISS-MODEL,35660.84,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1804,P09155,rnd,Ribonuclease D,REP-1yt3,1yt3-A_clean.pdb,Protein Data Bank,42733.7586,,,Cytosol,iJL1678,,,,iML1515_v1
b1805,P69451,fadD,Long-chain-fatty-acid--CoA ligase,REP-21_553_5bsr.1.A_59cacb89573f20866a5cf42e,b1805_21_553_5bsr_clean.pdb,SWISS-MODEL,62331.2346,2.43E-08,41,Cytosol,iJL1678,x,,,iML1515_v1
b1806,P0AA91,yeaY,Uncharacterized lipoprotein YeaY,REP-E01713,E01713_clean-X_clean.pdb,metaTASSER,20920.8703,,90,Outer_Membrane,Heinemann 2016,,,,iML1515_v1
b1807,P76256,tsaB,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,REP-1okj,1okj-A_clean.pdb,Protein Data Bank,25180.5351,2.49E-08,42,Cytosol,Heinemann 2016,x,,,iML1515_v1
b1808,P76257,yoaA,Probable ATP-dependent helicase YoaA,REP-36_636_5h8w.1.A_59cb69c3c730d42641405071,b1808_36_636_5h8w_clean.pdb,SWISS-MODEL,70377.1365,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1809,P0AEB7,yoaB,RutC family protein YoaB,REP-3gtz,3gtz-A_clean.pdb,Protein Data Bank,12493.0784,1.09E-06,1832,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1810,P64490,yoaC,Uncharacterized protein YoaC,REP-1_99_2jn8.1.A_59cca44f7f4bf94cbb142b50,b1810_1_99_2jn8_clean.pdb,SWISS-MODEL,10835.2888,1.78E-09,3,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1811,P67338,yoaH,UPF0181 protein YoaH,REP-E01718,E01718_clean-X_clean.pdb,metaTASSER,6554.2337,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1812,P05041,pabB,Aminodeoxychorismate synthase component 1,REP-1k0e,1k0e-A_clean.pdb,Protein Data Bank,50968.9339,1.78E-08,30,Cytosol,iJL1678,x,,,iML1515_v1
b1813,P43337,nudL,Uncharacterized Nudix hydrolase NudL,REP-5_180_5t3p.1.A_59cc2bcba52be7a83e08edd2,b1813_5_180_5t3p_clean.pdb,SWISS-MODEL,21435.3608,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b1814,P16095,sdaA,L-serine dehydratase 1,REP-2_451_4rqo.1.A_59c9e7a2c730d43ddf423d2d,b1814_2_451_4rqo_clean.pdb,SWISS-MODEL,48906.1351,1.13E-08,19,Cytosol,iJL1678,x,,,iML1515_v1
b1815,P76261,adrB,Putative cyclic-di-GMP phosphodiesterase AdrB,REP-E01722,E01722_clean-X_clean.pdb,metaTASSER,59710.6746,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b1816,P0AEC0,yoaE,UPF0053 inner membrane protein YoaE,REP-E01723,E01723_clean-X_clean.pdb,metaTASSER,56527.3577,1.91812E-05,12,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1
b1817,P69797,manX,PTS system mannose-specific EIIAB component,REP-E01724,E01724_clean-X_clean.pdb,metaTASSER,35047.132,7.34E-07,1237,Cytosol,iJL1678,x,,,iML1515_v1
b1818,P69801,manY,PTS system mannose-specific EIIC component,REP-E01725,E01725_clean-X_clean.pdb,metaTASSER,27635.4759,0.000322883,202,Inner_Membrane,iJL1678,x,,,iML1515_v1
b1819,P69805,manZ,PTS system mannose-specific EIID component,REP-E01726,E01726_clean-X_clean.pdb,metaTASSER,30955.1144,0.000177426,111,Inner_Membrane,iJL1678,x,,,iML1515_v1
b1820,P67601,yobD,UPF0266 membrane protein YobD,REP-E01727,E01727_clean-X_clean.pdb,metaTASSER,17615.0351,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1821,P76264,mntP,Probable manganese efflux pump MntP,REP-E01728,E01728_clean-X_clean.pdb,metaTASSER,20116.7433,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b1822,P36999,rlmA,23S rRNA (guanine(745)-N(1))-methyltransferase,REP-1p91,1p91-A_clean.pdb,Protein Data Bank,30418.5663,2.31E-08,39,Cytosol,iJL1678,x,,,iML1515_v1
b1823,P0A9Y6,cspC,Cold shock-like protein CspC,REP-3i2z,3i2z-A_clean.pdb,Protein Data Bank,7402.2704,3.79E-05,63828,Cytosol,Heinemann 2016,x,,,iML1515_v1
b1824,P64508,yobF,Protein YobF,REP-E01731,E01731_clean-X_clean.pdb,metaTASSER,5212.1166,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b1825,P64499,yebO,Uncharacterized protein YebO,REP-E01732,E01732_clean-X_clean.pdb,metaTASSER,10792.3419,,479,Outer_Membrane,Heinemann 2016,,,,iML1515_v1
b1826,P64512,mgrB,PhoP/PhoQ regulator MgrB,REP-E01733,E01733_clean-X_clean.pdb,metaTASSER,5551.7441,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b1827,P76268,kdgR,Transcriptional regulator KdgR,REP-13_258_1mkm.1.A_59ca274ec730d413295d2969,b1827_13_258_1mkm_clean.pdb,SWISS-MODEL,30028.9937,2.47E-07,416,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b1828,P76269,yebQ,Uncharacterized transporter YebQ,REP-E01736,E01736_clean-X_clean.pdb,metaTASSER,48151.1355,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1829,P23894,htpX,Protease HtpX,REP-E01737,E01737_clean-X_clean.pdb,metaTASSER,31922.9686,0.000960657,601,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1
b1830,P23865,prc,Tail-specific protease,REP-5wql,5wql-C_clean.pdb,Protein Data Bank,76662.1295,0.000778436,487,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1
b1831,P45577,proQ,RNA chaperone ProQ,REP-E01739,E01739_clean-X_clean.pdb,metaTASSER,25892.208,1.36E-06,2290,Cytosol,Heinemann 2016,x,,,iML1515_v1
b1832,P76270,msrC,Free methionine-R-sulfoxide reductase,REP-1vhm,1vhm-A_clean.pdb,Protein Data Bank,18121.4055,4.69E-07,791,Cytosol,Arbitrary assignment,x,,,iML1515_v1
b1833,P0AD03,yebS,Inner membrane protein YebS,REP-E01741,E01741_clean-X_clean.pdb,metaTASSER,48272.8571,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b1834,P76272,yebT,Uncharacterized protein YebT,REP-YEBT_ECOLI,YEBT_ECOLI_model1_clean-X_clean.pdb,I-TASSER,94969.2745,4.79529E-06,3,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1
