 ,Gene,UniProt,NAME,Description,Structure_ID,PDB,Structure_source,MW,MOLARITY,Copy_number,Localization,Localization_source,INCLUDE,COLOR,NOTES,model_id,Copy_number2,NumUsed,Protein_stoichiometry,PDB_coverage,PDB_stoichiometry,PDB_quality,Localization_multiple,need_dummy,PRINCIPAL_VECTOR,OFFSET,JITTER_MAX,PRINCIPAL_VECTOR_source,TM1_residues,TM2_residues,molecules/sqA
3659,b3899,P32154,frvB,Fructose-like PTS system EIIBC component,REP-E03674,E03674_clean-X_clean.pdb,metaTASSER,51119.8343,,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1,,0,b3899:1,complete,E03674_clean-X_clean.pdb:1,all-homology,,,,,,,,,
3660,b3900,P32155,frvA,PTS system fructose-like EIIA component,REP-2_145_4gqx.1.A_59cbf742140550a9d91fd518,b3900_2_145_4gqx_clean.pdb,SWISS-MODEL,16093.3228,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b3900:1,complete,b3900_2_145_4gqx_clean.pdb:1,all-homology,,,,,,,,,
3661,b3901,P32156,rhaM,L-rhamnose mutarotase,REP-1x8d,1x8d-A_clean.pdb,Protein Data Bank,12264.7587,,,Cytosol,Arbitrary assignment,,,,iML1515_v1,,0,b3901:1,complete,1x8d-A_clean.pdb:1,all-experimental,,,,,,,,,
3662,b3902,P32169,rhaD,Rhamnulose-1-phosphate aldolase,REP-2v9l,2v9l-A_clean.pdb,Protein Data Bank,30145.1376,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b3902:1,complete,2v9l-A_clean.pdb:1,all-experimental,,,,,,,,,
3663,b3903,P32170,rhaA,L-rhamnose isomerase,REP-1d8w,1d8w-A_clean.pdb,Protein Data Bank,47198.8751,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b3903:1,complete,1d8w-A_clean.pdb:1,all-experimental,,,,,,,,,
3664,b3904,P32171,rhaB,L-Rhamnulokinase,REP-2cgl,2cgl-A_clean.pdb,Protein Data Bank,54068.4265,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b3904:1,complete,2cgl-A_clean.pdb:1,all-experimental,,,,,,,,,
3665,b3905,P09377,rhaS,HTH-type transcriptional activator RhaS,REP-25_275_5suw.1.A_59c9f3de7f4bf919ba6af81c,b3905_25_275_5suw_clean.pdb,SWISS-MODEL,32314.9277,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b3905:1,complete,b3905_25_275_5suw_clean.pdb:1,all-homology,,,,,,,,,
3666,b3906,P09378,rhaR,HTH-type transcriptional activator RhaR,REP-28_280_5suw.1.A_59c9e6e2c730d419e4c7a70b,b3906_28_280_5suw_clean.pdb,SWISS-MODEL,32372.2622,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b3906:1,complete,b3906_28_280_5suw_clean.pdb:1,all-homology,,,,,,,,,
3667,b3907,P27125,rhaT,L-rhamnose-proton symporter,REP-E03682,E03682_clean-X_clean.pdb,metaTASSER,37319.3743,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b3907:1,complete,E03682_clean-X_clean.pdb:1,all-homology,,,,,,,,,
3668,b3908,P00448,sodA,Superoxide dismutase [Mn],REP-1ix9,1ix9-A_clean.pdb,Protein Data Bank,23096.7999,2.2074838370960876e-05,23526.0,Cytosol,iJL1678,x,,,iML1515_v1,23526.0,0,b3908:1,complete,1ix9-A_clean.pdb:1,all-experimental,,,,,,,,,
3669,b3909,P0A712,kdgT,2-keto-3-deoxygluconate permease,REP-E03684,E03684_clean-X_clean.pdb,metaTASSER,33668.8736,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b3909:1,complete,E03684_clean-X_clean.pdb:1,all-homology,,,,,,,,,
3670,b3910,P32157,yiiM,Protein YiiM,REP-1o65,1o65-A_clean.pdb,Protein Data Bank,25342.4202,3.565603409404545e-08,38.0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1,38.0,0,b3910:1,complete,1o65-A_clean.pdb:1,all-experimental,,,,,,,,,
3671,b3911,P0AE82,cpxA,Sensor histidine kinase CpxA,OPM-E03686,OPM-E03686.pdb,OPM-manual; metaTASSER,51623.6223,3.0964450660618416e-08,33.0,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1,33.0,0,b3911:1,complete,E03686_clean-X_clean.pdb:1,all-homology,,,"0,0,1",,,OPM,,,4.26688457947913e-08
3672,b3912,P0AE88,cpxR,Transcriptional regulatory protein CpxR,REP-1_230_5ed4.2.A_59ca81f2ad01f085524f21c9,b3912_1_230_5ed4_clean.pdb,SWISS-MODEL,26311.7987,6.708964309800657e-07,715.0,Cytosol,Heinemann 2016,x,,,iML1515_v1,715.0,0,b3912:1,complete,b3912_1_230_5ed4_clean.pdb:1,all-homology,,,,,,,,,
3673,b3915,P69380,fieF,Ferrous-iron efflux pump FieF,REP-2qfi,2qfi-A_clean.pdb,Protein Data Bank,32926.8736,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b3915:1,complete,2qfi-A_clean.pdb:1,all-experimental,,,,,,,,,
3674,b3916,P0A796,pfkA,ATP-dependent 6-phosphofructokinase isozyme 1,REP-1pfk,1pfk-A_clean.pdb,Protein Data Bank,34841.6643,0.0,908.0,Cytosol,iJL1678,,,,iML1515_v1,0.0,908,b3916:1,complete,1pfk-A_clean.pdb:1,all-experimental,,,,,,,,,
3675,b3917,P0AG78,sbp,Sulfate-binding protein,REP-1sbp,1sbp-A_clean.pdb,Protein Data Bank,36658.8275,2.464636286594232e-06,638.0,Periplasm,iJL1678,x,,,iML1515_v1,638.0,0,b3917:1,complete,1sbp-A_clean.pdb:1,all-experimental,,,,,,,,,
3676,b3918,P06282,cdh,CDP-diacylglycerol pyrophosphatase,REP-E03692,E03692_clean-X_clean.pdb,metaTASSER,28450.4355,6.5682168067978465e-09,7.0,Cytosol,iJL1678,x,,,iML1515_v1,7.0,0,b3918:1,complete,E03692_clean-X_clean.pdb:1,all-homology,,,,,,,,,
3677,b3919,P0A858,tpiA,Triosephosphate isomerase,REP-1tre,1tre-A_clean.pdb,Protein Data Bank,26971.5025,0.0,5152.0,Cytosol,iJL1678,,,,iML1515_v1,0.0,5152,b3919:1,complete,1tre-A_clean.pdb:1,all-experimental,,,,,,,,,
3678,b3920,P32160,yiiQ,Uncharacterized protein YiiQ,REP-E03694,E03694_clean-X_clean.pdb,metaTASSER,21762.687,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1,,0,b3920:1,complete,E03694_clean-X_clean.pdb:1,all-homology,,,,,,,,,
3679,b3921,P0AF34,yiiR,Uncharacterized protein YiiR,REP-E03695,E03695_clean-X_clean.pdb,metaTASSER,16541.4403,,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1,,0,b3921:1,complete,E03695_clean-X_clean.pdb:1,all-homology,,,,,,,,,
3680,b3922,P32162,yiiS,UPF0381 protein YiiS,REP-2k3i,2k3i-A_clean.pdb,Protein Data Bank,10776.111,8.5386818488372e-08,91.0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1,91.0,0,b3922:1,complete,2k3i-A_clean.pdb:1,all-experimental,,,,,,,,,
3681,b3923,P0AAB8,uspD,Universal stress protein D,REP-2_141_1jmv.1.A_59cc04f314055089c7d2c6a9,b3923_2_141_1jmv_clean.pdb,SWISS-MODEL,16292.8496,7.694196830820333e-08,82.0,Cytosol,Heinemann 2016,x,,,iML1515_v1,82.0,0,b3923:1,complete,b3923_2_141_1jmv_clean.pdb:1,all-homology,,,,,,,,,
3682,b3924,P28861,fpr,Ferredoxin--NADP reductase,REP-1fdr,1fdr-A_clean.pdb,Protein Data Bank,27750.6101,9.476998535522606e-08,101.0,Cytosol,iJL1678,x,,,iML1515_v1,101.0,0,b3924:1,complete,1fdr-A_clean.pdb:1,all-experimental,,,,,,,,,
3683,b3925,P0A9C9,glpX,"Fructose-1,6-bisphosphatase 1 class 2",REP-3big,3big-A_clean.pdb,Protein Data Bank,35851.9245,1.7640353709685643e-07,188.0,Cytosol,iJL1678,x,,,iML1515_v1,188.0,0,b3925:1,complete,3big-A_clean.pdb:1,all-experimental,,,,,,,,,
3684,b3926,P0A6F3,glpK,Glycerol kinase,REP-1bu6,1bu6-O_clean.pdb,Protein Data Bank,56230.1095,4.785415102095573e-06,5104.0,Cytosol,iJL1678,x,,,iML1515_v1,5100.0,4,b3926:1,complete,1bu6-O_clean.pdb:1,all-experimental,,,,,,,,,
3685,b3927,P0AER0,glpF,Glycerol uptake facilitator protein,OPM-1ldf,OPM-1ldf.pdb,OPM; Protein Data Bank,29779.6309,3.753266746741626e-08,40.0,Inner_Membrane,iJL1678,x,,,iML1515_v1,40.0,0,b3927:1,complete,1ldf-A_clean.pdb:1,all-experimental,,,"0,0,1",,,OPM,,,5.171981308459551e-08
3686,b3928,P0AF36,zapB,Cell division protein ZapB,REP-2jee,2jee-A_clean.pdb,Protein Data Bank,9634.7023,7.330129956386396e-06,7812.0,Cytosol,Heinemann 2016,x,,,iML1515_v1,7812.0,0,b3928:1,complete,2jee-A_clean.pdb:1,all-experimental,,,,,,,,,
3687,b3929,P0A8R0,rraA,Regulator of ribonuclease activity A,REP-1q5x,1q5x-A_clean.pdb,Protein Data Bank,17360.1521,6.41808613692818e-07,684.0,Cytosol,Heinemann 2016,x,,,iML1515_v1,684.0,0,b3929:1,complete,1q5x-A_clean.pdb:1,all-experimental,,,,,,,,,
3688,b3930,P32166,menA,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",REP-10_303_4tq3.1.A_59f2ba09afa3585f4af90b15,b3930_10_303_4tq3_clean.pdb,SWISS-MODEL,33593.5731,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b3930:1,complete,b3930_10_303_4tq3_clean.pdb:1,all-homology,,,,,,,,,
3689,b3931,P0A6H5,hslU,ATP-dependent protease ATPase subunit HslU,REP-1g4a,1g4a-E_clean.pdb,Protein Data Bank,49593.2273,8.28533634343214e-07,883.0,Cytosol,Heinemann 2016,x,,,iML1515_v1,883.0,0,b3931:1,complete,1g4a-E_clean.pdb:1,all-experimental,,,,,,,,,
3690,b3932,P0A7B8,hslV,ATP-dependent protease subunit HslV,REP-5ji3,5ji3-A_clean.pdb,Protein Data Bank,19092.6178,3.818948914809605e-07,407.0,Cytosol,Heinemann 2016,x,,,iML1515_v1,407.0,0,b3932:1,complete,5ji3-A_clean.pdb:1,all-experimental,,,,,,,,,
3691,b3933,P29131,ftsN,Cell division protein FtsN,OPM-E03707,OPM-E03707.pdb,OPM-manual; metaTASSER,35792.8043,1.3793255294275475e-07,147.0,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1,147.0,0,b3933:1,complete,E03707_clean-X_clean.pdb:1,all-homology,,,"0,0,1",,,OPM,,,1.900703130858885e-07
3692,b3934,P0ACN7,cytR,HTH-type transcriptional repressor CytR,REP-11_341_1vpw.1.B_59f22ff13d4e1d29eaec438a,b3934_11_341_1vpw_clean.pdb,SWISS-MODEL,37819.3878,5.629900120112439e-09,6.0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1,6.0,0,b3934:1,complete,b3934_11_341_1vpw_clean.pdb:1,all-homology,,,,,,,,,
3693,b3935,P17888,priA,Primosomal protein N',REP-4nl8,4nl8-A_clean.pdb,Protein Data Bank,81653.9012,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b3935:1,complete,4nl8-A_clean.pdb:1,all-experimental,,,,,,,,,
3694,b3936,P0A7M9,rpmE,50S ribosomal protein L31,REP-5nwy,5nwy-L_clean.pdb,Protein Data Bank,7870.9886,2.3889542843010453e-06,10399.0,Cytosol,iJL1678,x,,,iML1515_v1,2546.0,7853,b3936:1,complete,5nwy-L_clean.pdb:1,all-experimental,,,,,,,,,
3695,b3937,P32167,yiiX,Uncharacterized protein YiiX,REP-2if6,2if6-A_clean.pdb,Protein Data Bank,23139.3499,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1,,0,b3937:1,complete,2if6-A_clean.pdb:1,all-experimental,,,,,,,,,
3696,b3938,P0A8U6,metJ,Met repressor,REP-1cmb,1cmb-A_clean.pdb,Protein Data Bank,12140.6128,8.641896684372594e-07,921.0,Cytosol,Heinemann 2016,x,,,iML1515_v1,921.0,0,b3938:1,complete,1cmb-A_clean.pdb:1,all-experimental,,,,,,,,,
3697,b3939,P00935,metB,Cystathionine gamma-synthase,REP-1cs1,1cs1-A_clean.pdb,Protein Data Bank,41549.8972,0.0,716.0,Cytosol,iJL1678,,,,iML1515_v1,0.0,716,b3939:1,complete,1cs1-A_clean.pdb:1,all-experimental,,,,,,,,,
3698,b3940,P00562,metL,Bifunctional aspartokinase/homoserine dehydrogenase 2,REP-AK2H_ECOLI,AK2H_ECOLI_model1_clean-X_clean.pdb,I-TASSER,88886.5957,0.0,220.0,Cytosol,iJL1678,,,,iML1515_v1,0.0,220,b3940:1,complete,AK2H_ECOLI_model1_clean-X_clean.pdb:1,all-homology,,,,,,,,,
3699,b3941,P0AEZ1,metF,"5,10-methylenetetrahydrofolate reductase",REP-3fst,3fst-A_clean.pdb,Protein Data Bank,33102.3431,0.0,3354.0,Cytosol,iJL1678,,,,iML1515_v1,0.0,-2,b3941:1,complete,3fst-A_clean.pdb:1,all-experimental,,,,,,,,,
3700,b3942,P13029,katG,Catalase-peroxidase,REP-12_725_5cjh.1.A_59cbc8667aaa0d76a08777ea,b3942_12_725_5cjh_clean.pdb,SWISS-MODEL,80022.7992,1.3774488960541767e-06,1468.0,Cytosol,iJL1678,x,,,iML1515_v1,1468.0,0,b3942:1,complete,b3942_12_725_5cjh_clean.pdb:1,all-homology,,,,,,,,,
3701,b3943,P0ABT8,yijE,Probable cystine transporter YijE,REP-9_294_5i20.1.A_59fc8e6ff4763dcece331d4e,b3943_9_294_5i20_clean.pdb,SWISS-MODEL,32865.1507,,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1,,0,b3943:1,complete,b3943_9_294_5i20_clean.pdb:1,all-homology,,,,,,,,,
3702,b3944,P32668,yijF,Uncharacterized protein YijF,REP-E03718,E03718_clean-X_clean.pdb,metaTASSER,22954.7469,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1,,0,b3944:1,complete,E03718_clean-X_clean.pdb:1,all-homology,,,,,,,,,
3703,b3945,P0A9S5,gldA,Glycerol dehydrogenase,REP-1_363_5xn8.1.A_59f2293cad01f0b4e09c4145,b3945_1_363_5xn8_clean.pdb,SWISS-MODEL,38711.7471,5.254573445438277e-08,56.0,Cytosol,iJL1678,x,,,iML1515_v1,56.0,0,b3945:1,complete,b3945_1_363_5xn8_clean.pdb:1,all-homology,,,,,,,,,
3704,b3946,P32669,fsaB,Fructose-6-phosphate aldolase 2,REP-1_220_1l6w.1.A_59cab9a6c730d491ab47bb5b,b3946_1_220_1l6w_clean.pdb,SWISS-MODEL,23554.9463,9.383166866854067e-10,1.0,Cytosol,iJL1678,x,,,iML1515_v1,1.0,0,b3946:1,complete,b3946_1_220_1l6w_clean.pdb:1,all-homology,,,,,,,,,
3705,b3947,P32670,ptsA,Multiphosphoryl transfer protein 2,REP-PTFX2_ECOLI,PTFX2_ECOLI_model1_clean-X_clean.pdb,I-TASSER,91772.5844,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b3947:1,complete,PTFX2_ECOLI_model1_clean-X_clean.pdb:1,all-homology,,,,,,,,,
3706,b3949,P32672,frwC,Fructose-like permease IIC component 2,REP-E03722,E03722_clean-X_clean.pdb,metaTASSER,37085.9205,,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1,,0,b3949:1,complete,E03722_clean-X_clean.pdb:1,all-homology,,,,,,,,,
3707,b3950,P69816,frwB,PTS system fructose-like EIIB component 2,REP-2_100_5dle.1.A_59cc82edad01f07d8f007d1c,b3950_2_100_5dle_clean.pdb,SWISS-MODEL,11247.841,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b3950:1,complete,b3950_2_100_5dle_clean.pdb:1,all-homology,,,,,,,,,
3708,b3951,P32674,pflD,Formate acetyltransferase 2,REP-2_761_5i2a.1.A_59cbf84e14055028d4c54ed7,b3951_2_761_5i2a_clean.pdb,SWISS-MODEL,85958.7332,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b3951:1,complete,b3951_2_761_5i2a_clean.pdb:1,all-homology,,,,,,,,,
3709,b3952,P32675,pflC,Pyruvate formate-lyase 2-activating enzyme,REP-22_289_3cb8.1.A_59fcb5b4eb80f7bff742b507,b3952_22_289_3cb8_clean.pdb,SWISS-MODEL,32429.3119,4.691583433427032e-09,5.0,Cytosol,iJL1678,x,,,iML1515_v1,5.0,0,b3952:1,complete,b3952_22_289_3cb8_clean.pdb:1,all-homology,,,,,,,,,
3710,b3953,P32676,frwD,PTS system fructose-like EIIB component 3,REP-4tn5,4tn5-A_clean.pdb,Protein Data Bank,12636.5108,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b3953:1,complete,4tn5-A_clean.pdb:1,all-experimental,,,,,,,,,
3711,b3954,P32677,yijO,Uncharacterized HTH-type transcriptional regulator YijO,REP-E03727,E03727_clean-X_clean.pdb,metaTASSER,32148.9937,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b3954:1,complete,E03727_clean-X_clean.pdb:1,all-homology,,,,,,,,,
3712,b3955,P0CB39,eptC,Phosphoethanolamine transferase EptC,OPM-E03728,OPM-E03728.pdb,OPM-manual; metaTASSER,66609.0241,2.3457917167135165e-08,25.0,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1,25.0,0,b3955:1,complete,E03728_clean-X_clean.pdb:1,all-homology,,,"0,0,1",,,OPM,,,3.232488317787219e-08
3713,b3956,P00864,ppc,Phosphoenolpyruvate carboxylase,REP-1jqn,1jqn-A_clean.pdb,Protein Data Bank,99061.4335,2.9463143961921763e-07,2042.0,Cytosol,iJL1678,x,,,iML1515_v1,314.0,1728,b3956:1,complete,1jqn-A_clean.pdb:1,all-experimental,,,,,,,,,
3714,b3957,P23908,argE,Acetylornithine deacetylase,REP-6_382_2qyv.1.A_59f24821eb80f79e66127b35,b3957_6_382_2qyv_clean.pdb,SWISS-MODEL,42346.8451,0.0,1979.0,Cytosol,iJL1678,,,,iML1515_v1,0.0,-1,b3957:1,complete,b3957_6_382_2qyv_clean.pdb:1,all-homology,,,,,,,,,
3715,b3958,P11446,argC,N-acetyl-gamma-glutamyl-phosphate reductase,REP-3dr3,3dr3-A_clean.pdb,Protein Data Bank,35951.6921,0.0,1352.0,Cytosol,iJL1678,,,,iML1515_v1,0.0,1352,b3958:1,complete,3dr3-A_clean.pdb:1,all-experimental,,,,,,,,,
3716,b3959,P0A6C8,argB,Acetylglutamate kinase,REP-1gs5,1gs5-A_clean.pdb,Protein Data Bank,27159.2235,0.0,5283.0,Cytosol,iJL1678,,,,iML1515_v1,0.0,-1,b3959:1,complete,1gs5-A_clean.pdb:1,all-experimental,,,,,,,,,
3717,b3960,P11447,argH,Argininosuccinate lyase,REP-1tj7,1tj7-A_clean.pdb,Protein Data Bank,50317.6366,0.0,2554.0,Cytosol,iJL1678,,,,iML1515_v1,0.0,2554,b3960:1,complete,1tj7-A_clean.pdb:1,all-experimental,,,,,,,,,
3718,b3961,P0ACQ4,oxyR,Hydrogen peroxide-inducible genes activator,REP-1_291_4x6g.1.A_59f2cba43d4e1dca731f37db,b3961_1_291_4x6g_clean.pdb,SWISS-MODEL,34275.5646,2.4959223865831815e-07,266.0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1,266.0,0,b3961:1,complete,b3961_1_291_4x6g_clean.pdb:1,all-homology,,,,,,,,,
3719,b3962,P27306,sthA,Soluble pyridine nucleotide transhydrogenase,REP-6_462_5u8u.1.A_59ca0033a52be71c5fa97d4a,b3962_6_462_5u8u_clean.pdb,SWISS-MODEL,51559.8032,3.434239073268588e-07,366.0,Cytosol,iJL1678,x,,,iML1515_v1,366.0,0,b3962:1,complete,b3962_6_462_5u8u_clean.pdb:1,all-homology,,,,,,,,,
3720,b3963,P0ACU5,fabR,HTH-type transcriptional repressor FabR,REP-20_220_3lsj.1.A_59ca7a83a52be77551160894,b3963_20_220_3lsj_clean.pdb,SWISS-MODEL,26553.0172,1.40747503002811e-08,15.0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1,15.0,0,b3963:1,complete,b3963_20_220_3lsj_clean.pdb:1,all-homology,,,,,,,,,
3721,b3964,P0AF40,yijD,Inner membrane protein YijD,REP-E03737,E03737_clean-X_clean.pdb,metaTASSER,13023.3549,,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1,,0,b3964:1,complete,E03737_clean-X_clean.pdb:1,all-homology,,,,,,,,,
3722,b3965,P23003,trmA,tRNA/tmRNA (uracil-C(5))-methyltransferase,REP-3bt7,3bt7-A_clean.pdb,Protein Data Bank,41966.4755,1.276110693892153e-07,136.0,Cytosol,iJL1678,x,,,iML1515_v1,136.0,0,b3965:1,complete,3bt7-A_clean.pdb:1,all-experimental,,,,,,,,,
3723,b3966,P06129,btuB,Vitamin B12 transporter BtuB,OPM-2guf,OPM-2guf.pdb,OPM; Protein Data Bank,68406.2387,5.171372520254631e-07,685.0,Outer_Membrane,iJL1678,x,,,iML1515_v1,685.0,0,b3966:1,complete,2guf-A_clean.pdb:1,all-experimental,,,"0,0,1",,,OPM,,,7.61024016140375e-07
3724,b3967,P22634,murI,Glutamate racemase,REP-20_285_2jfn.1.A_59c9dc11ad01f0b421064f90,b3967_20_285_2jfn_clean.pdb,SWISS-MODEL,31001.5805,0.0,71.0,Cytosol,iJL1678,,,,iML1515_v1,0.0,-1,b3967:1,complete,b3967_20_285_2jfn_clean.pdb:1,all-homology,,,,,,,,,
3725,b3972,P08373,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,REP-1mbb,1mbb-A_clean.pdb,Protein Data Bank,37850.5691,0.0,56.0,Cytosol,iJL1678,,,,iML1515_v1,0.0,56,b3972:1,complete,1mbb-A_clean.pdb:1,all-experimental,,,,,,,,,
3726,b3973,P06709,birA,Bifunctional ligase/repressor BirA,REP-1bia,1bia-A_clean.pdb,Protein Data Bank,35311.5637,1.40747503002811e-08,15.0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1,15.0,0,b3973:1,complete,1bia-A_clean.pdb:1,all-experimental,,,,,,,,,
3727,b3974,P0A6I3,coaA,Pantothenate kinase,REP-1esm,1esm-A_clean.pdb,Protein Data Bank,36359.3127,2.60852038898543e-07,278.0,Cytosol,iJL1678,x,,,iML1515_v1,278.0,0,b3974:1,complete,1esm-A_clean.pdb:1,all-experimental,,,,,,,,,
3728,b3980,P0CE48,tufB,Elongation factor Tu 2,REP-1dg1,1dg1-G_clean.pdb,Protein Data Bank,43313.0656,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b3980:1,complete,1dg1-G_clean.pdb:1,all-experimental,,,,,,,,,
3729,b3981,P0AG96,secE,Protein translocase subunit SecE,2akh,2akh.pdb,Protein Data Bank,13643.2425,1.0696810228213635e-07,114.0,Inner_Membrane,iJL1678,x,,,iML1515_v1,114.0,0.0,b3981:1,complete,2akh-C_clean.pdb:1,all-experimental,,,"-0.00056418107640723554,0.003246463020163016,0.99999457107404921",,,GEMbrane,"B_291,B_77,C_116,Y_291,Y_136,C_44,A_66,B_37,A_14,B_132,B_205,X_71,Y_210,Y_211,Z_47,Z_121,Y_218,X_7,Y_208,Z_37,B_305,B_164,B_211,B_210,Y_206","A_31,A_33,Y_334,C_91,A_34,Y_417,Y_179,Y_270,A_44,Y_11,C_89,X_25,X_49,A_42,B_421,Z_95,Y_21,B_378,B_336,C_20,Y_182,B_107,B_111,C_62,B_269,Z_97,Y_104,Z_75,Z_94,Y_115,Y_272,B_239,Z_17,Y_239,Y_376,Z_76",1.474014672910972e-07
3730,b3982,P0AFG0,nusG,Transcription termination/antitermination protein NusG,REP-5ms0,5ms0-F_clean.pdb,Protein Data Bank,20531.275,4.511426629583435e-06,4808.0,Cytosol,iJL1678,x,,,iML1515_v1,4808.0,0,b3982:1,complete,5ms0-F_clean.pdb:1,all-experimental,,,,,,,,,
3731,b3983,P0A7J7,rplK,50S ribosomal protein L11,REP-5afi,5afi-I_clean.pdb,Protein Data Bank,14875.2148,1.084506426470993e-05,19411.0,Cytosol,iJL1678,x,,,iML1515_v1,11558.0,7853,b3983:1,complete,5afi-I_clean.pdb:1,all-experimental,,,,,,,,,
3732,b3984,P0A7L0,rplA,50S ribosomal protein L1,REP-3jcd,3jcd-5_clean.pdb,Protein Data Bank,24729.3419,2.203542907012009e-05,31337.0,Cytosol,iJL1678,x,,,iML1515_v1,23484.0,7853,b3984:1,complete,3jcd-5_clean.pdb:1,all-experimental,,,,,,,,,
3733,b3985,P0A7J3,rplJ,50S ribosomal protein L10,REP-3j7z,3j7z-5_clean.pdb,Protein Data Bank,17711.386000000002,3.012184227597492e-05,39955.0,Cytosol,iJL1678,x,,,iML1515_v1,32102.0,7853,b3985:1,complete,3j7z-5_clean.pdb:1,all-experimental,,,,,,,,,
3734,b3986,P0A7K2,rplL,50S ribosomal protein L7/L12,REP-1rqu,1rqu-A_clean.pdb,Protein Data Bank,12295.0526,1.951604876636977e-05,52211.0,Cytosol,iJL1678,x,,,iML1515_v1,20799.0,31412,b3986:1,complete,1rqu-A_clean.pdb:1,all-experimental,,,,,,,,,
3735,b3987,P0A8V2,rpoB,DNA-directed RNA polymerase subunit beta,REP-5uag,5uag-C_clean.pdb,Protein Data Bank,150630.5506,1.430932947195245e-06,2849.0,Cytosol,iJL1678,x,,,iML1515_v1,1525.0,1324,b3987:1,complete,5uag-C_clean.pdb:1,all-experimental,,,,,,,,,
3736,b3988,P0A8T7,rpoC,DNA-directed RNA polymerase subunit beta',REP-5uag,5uag-D_clean.pdb,Protein Data Bank,155158.4333,8.876475856043947e-07,2270.0,Cytosol,iJL1678,x,,,iML1515_v1,946.0,1324,b3988:1,complete,5uag-D_clean.pdb:1,all-experimental,,,,,,,,,
3737,b3989,P27375,htrC,Heat shock protein C,REP-E03753,E03753_clean-X_clean.pdb,metaTASSER,21130.7929,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b3989:1,complete,E03753_clean-X_clean.pdb:1,all-homology,,,,,,,,,
3738,b3990,P30140,thiH,2-iminoacetate synthase,REP-28_377_4wcx.1.A_59f22e453d4e1ddaa35f518b,b3990_28_377_4wcx_clean.pdb,SWISS-MODEL,43319.6251,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b3990:1,complete,b3990_28_377_4wcx_clean.pdb:1,all-homology,,,,,,,,,
3739,b3991,P30139,thiG,Thiazole synthase,REP-1_249_1xm3.1.A_59caccea573f20b7df771d8a,b3991_1_249_1xm3_clean.pdb,SWISS-MODEL,26895.7856,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b3991:1,complete,b3991_1_249_1xm3_clean.pdb:1,all-homology,,,,,,,,,
3740,b3992,P30138,thiF,Sulfur carrier protein ThiS adenylyltransferase,REP-1zud,1zud-1_clean.pdb,Protein Data Bank,26969.4899,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b3992:1,complete,1zud-1_clean.pdb:1,all-experimental,,,,,,,,,
3741,b3993,P30137,thiE,Thiamine-phosphate synthase,REP-6_208_3nm1.1.A_59cae0f0afa35840f2411a7a,b3993_6_208_3nm1_clean.pdb,SWISS-MODEL,23014.9878,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b3993:1,complete,b3993_6_208_3nm1_clean.pdb:1,all-homology,,,,,,,,,
